Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 문동주,4,4,4,2,3,1,0,1,7,4,0,0,0,1,0,0,0,0.750,0.750,1.750,2.500,21,1.22,3.70,0.419
 홍정우,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6,1.32,1.00,0.413
 수아레즈,7,7,6,1,3,0,0,0,3,3,0,0,0,0,0,0,1,0.500,0.429,0.500,0.929,25,1.47,2.16,0.308
 손동현,4,4,4,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,13,1.68,0.82,0.269
 문승원,5,5,5,0,3,1,0,0,4,1,0,0,0,1,0,0,0,0.600,0.600,0.800,1.400,23,1.22,1.14,0.237
 박종훈,7,7,5,1,2,0,0,0,2,0,2,0,0,1,0,0,0,0.400,0.571,0.400,0.971,40,1.02,1.16,0.127
 하영민,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,9,1.73,-0.08,0.121
 김광현,8,8,8,2,4,1,0,0,5,1,0,0,0,0,0,0,0,0.500,0.500,0.625,1.125,31,1.29,0.71,0.119
 딜런,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.41,1.17,0.116
 후라도,9,9,9,1,3,1,0,0,4,3,0,0,0,2,0,0,0,0.333,0.333,0.444,0.777,33,1.24,0.30,0.113
 최동환,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.18,1.51,0.112
 이용찬,3,3,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,13,2.94,0.49,0.112
 홍건희,2,2,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,10,2.96,-1.75,0.112
 오원석,5,5,4,2,2,1,0,0,3,1,1,0,0,1,0,0,0,0.500,0.600,0.750,1.350,15,0.89,1.21,0.105
 함덕주,2,2,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,10,0.93,0.90,0.097
 엘리아스,6,6,5,1,3,2,0,0,5,2,0,0,0,2,0,0,1,0.600,0.500,1.000,1.500,31,1.15,0.81,0.090
 벤자민,6,6,4,2,2,0,0,0,2,0,2,0,0,1,0,0,0,0.500,0.667,0.500,1.167,29,1.32,1.25,0.089
 박치국,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,7,1.79,0.72,0.079
 고영표,9,9,9,1,4,1,0,0,5,0,0,0,0,0,0,0,0,0.444,0.444,0.556,1.000,34,0.89,1.37,0.077
 우규민,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.08,1.00,0.074
 최성영,5,5,5,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0.800,0.800,0.800,1.600,14,1.21,0.93,0.071
 곽빈,6,6,6,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.167,0.167,0.167,0.334,20,0.97,-0.31,0.071
 정찬헌,4,4,4,1,2,0,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,21,1.15,0.72,0.063
 김영규,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.34,0.42,0.059
 페냐,4,4,4,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,14,0.89,0.48,0.056
 이정용,3,3,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,15,0.64,0.64,0.055
 최채흥,3,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,14,0.58,0.89,0.052
 박신지,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,8,0.53,0.67,0.052
 김재웅,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,2.04,0.02,0.048
 이태양,7,7,6,1,2,0,0,0,2,0,1,0,0,1,0,0,0,0.333,0.429,0.333,0.762,32,1.06,0.41,0.041
 최원준,7,7,7,1,3,0,0,0,3,0,0,0,0,1,0,0,0,0.429,0.429,0.429,0.858,25,0.90,-0.06,0.040
 최지민,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.500,0.500,0.500,1.000,8,0.39,0.15,0.036
 산체스,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,9,0.45,0.39,0.036
 김동혁,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,1.28,1.79,0.026
 이민우,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,1.87,0.23,0.025
 이종민,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.60,0.42,0.023
 임준섭,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,0.15,0.32,0.021
 메디나,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,11,1.08,0.19,0.020
 양현종,5,5,5,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,23,1.03,-0.32,0.020
 이영하,3,3,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,1.000,1.000,1.000,2.000,16,0.18,1.22,0.019
 이건욱,2,2,1,0,1,1,0,0,2,1,0,0,0,0,0,0,1,1.000,0.500,2.000,2.500,8,0.25,0.54,0.017
 오상원,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.20,0.15,0.011
