Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 정철원,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,5,1.85,1.00,0.321
 슐서,3,2,2,1,1,1,0,0,2,3,1,0,1,1,0,0,0,0.500,0.667,1.000,1.667,7,2.30,1.37,0.141
 엘리아스,2,2,1,1,1,0,0,1,4,2,1,0,1,0,0,0,0,1.000,1.000,4.000,5.000,5,0.55,1.88,0.126
 허윤동,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,1.20,1.00,0.108
 벤자민,5,5,5,1,2,0,0,1,5,1,0,0,0,2,0,0,0,0.400,0.400,1.000,1.400,23,0.72,0.77,0.099
 오원석,2,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0.000,0.500,0.000,0.500,13,2.29,0.79,0.097
 손동현,2,2,1,1,1,0,0,1,4,1,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,12,0.52,1.26,0.055
 장현식,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.58,0.46,0.052
 김광현,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,10,1.67,0.18,0.043
 장원준,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,0.57,0.48,0.037
 김동규,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.77,0.42,0.031
 산체스,2,2,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,0.55,0.10,0.023
 김대우,2,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,7,1.85,-0.82,0.022
