Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김대유,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,6,2.92,-0.53,0.365
 이정용,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,2.93,1.90,0.325
 최민준,3,3,2,1,1,0,0,1,4,1,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,9,2.43,1.14,0.251
 최원준,6,6,5,1,5,2,0,0,7,0,0,1,0,0,0,0,0,1.000,1.000,1.400,2.400,16,0.96,2.77,0.251
 강재민,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,1.000,,,7,6.96,1.00,0.227
 장민재,3,3,2,2,1,0,0,1,4,4,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,13,1.02,2.73,0.189
 플럿코,6,6,5,2,3,1,0,1,7,1,1,0,0,1,0,0,0,0.600,0.667,1.400,2.067,28,0.79,1.70,0.175
 엘리아스,3,3,3,1,3,1,0,0,4,0,0,0,0,0,0,0,0,1.000,1.000,1.333,2.333,15,0.95,2.01,0.166
 산체스,6,6,6,0,4,1,0,0,5,1,0,0,0,1,0,0,0,0.667,0.667,0.833,1.500,21,0.83,1.53,0.162
 김대우,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,13,1.69,0.70,0.141
 송영진,4,4,3,2,1,1,0,0,2,1,0,0,0,0,0,0,1,0.333,0.250,0.667,0.917,11,0.76,1.16,0.130
 김윤식,6,6,6,2,3,1,1,0,6,3,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,20,0.94,2.24,0.121
 윤영철,5,5,3,2,2,1,0,0,3,0,2,0,0,0,0,0,0,0.667,0.800,1.000,1.800,22,0.78,1.35,0.118
 황동하,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,3.44,0.68,0.117
 와이드너,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,1.32,0.93,0.113
 진해수,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.83,0.42,0.092
 주권,3,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0.000,0.333,0.000,0.333,12,1.06,0.51,0.092
 김동주,4,4,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0.500,0.750,0.500,1.250,17,0.78,1.01,0.088
 나균안,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,8,1.39,0.81,0.088
 앤더슨,3,3,2,1,1,0,1,0,3,1,0,0,0,0,0,0,1,0.500,0.333,1.500,1.833,14,0.88,0.29,0.081
 브랜든,3,3,3,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,16,0.85,0.83,0.076
 조이현,5,5,5,1,3,2,0,0,5,4,0,0,0,0,0,0,0,0.600,0.600,1.000,1.600,9,0.74,3.86,0.075
 노경은,4,4,3,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0.333,0.500,0.667,1.167,17,1.43,0.30,0.073
 메디나,8,8,7,0,2,0,0,0,2,2,1,0,0,0,0,0,0,0.286,0.375,0.286,0.661,28,1.05,0.84,0.067
 유영찬,1,1,1,1,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.02,0.95,0.066
 백승현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.81,0.42,0.064
 박세웅,3,3,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.76,0.91,0.061
 박종훈,6,6,5,0,1,1,0,0,2,1,1,0,0,1,0,0,0,0.200,0.333,0.400,0.733,32,0.96,0.50,0.058
 오승환,3,3,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.000,9,0.67,0.73,0.057
 김시훈,2,2,2,1,2,2,0,0,4,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,11,0.58,0.32,0.056
 구창모,3,3,3,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,15,0.95,1.52,0.052
 강효종,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,13,1.00,0.57,0.052
 전사민,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.82,0.59,0.049
 고우석,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,4.37,0.46,0.047
 김진호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.98,0.26,0.037
 김강률,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.60,0.73,0.036
 이상동,2,2,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,7,0.49,1.16,0.035
 박치국,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.79,0.42,0.032
 이원재,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.71,0.42,0.031
 최지강,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.79,0.46,0.030
 엄상백,6,6,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.200,0.333,0.200,0.533,24,0.85,0.38,0.024
 김유신,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,13,0.32,0.39,0.018
 김재영,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.63,0.45,0.018
 김재윤,2,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1.000,1.000,1.000,2.000,6,0.34,0.42,0.018
 박세진,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.42,0.26,0.016
 스트레일리,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,12,1.35,-0.04,0.015
 고봉재,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.49,0.69,0.014
 임준섭,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,6,0.39,1.09,0.013
 문용익,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,0.66,0.31,0.010
 최충연,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.34,0.27,0.008
 페디,8,8,8,1,2,0,0,0,2,0,0,0,0,2,0,0,0,0.250,0.250,0.250,0.500,33,0.80,-0.18,0.008
 박영현,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,0.33,0.22,0.007
 이의리,6,6,4,2,0,0,0,0,0,0,2,0,1,1,0,0,0,0.000,0.333,0.000,0.333,24,0.40,-0.25,0.006
 이영하,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.13,-0.11,0.004
 진승현,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.09,0.42,0.004
 김태오,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.05,1.00,0.004
 이용준,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,13,0.69,0.04,0.003
 김서현,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,0.07,0.37,0.003
 곽빈,5,5,4,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.250,0.400,0.250,0.650,26,0.90,0.23,0.003
 김기훈,4,4,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,15,0.05,0.17,0.003
 김영현,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.22,0.52,0.002
 김광현,6,6,6,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.167,0.167,0.667,0.834,23,0.91,-0.23,0.001
 이재익,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.02,0.26,0.001
