Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 한현희,3,3,3,1,2,0,0,1,5,4,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,12,2.04,2.80,0.561
 장시환,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,,1.000,,,10,2.74,1.31,0.245
 고영표,3,3,3,1,2,1,1,0,5,2,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,12,0.85,2.78,0.242
 최준용,2,2,2,2,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,0.52,1.42,0.212
 김원중,3,3,3,1,2,0,1,0,4,2,0,0,0,1,0,0,0,0.667,0.667,1.333,2.000,14,1.79,1.86,0.210
 정철원,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.80,0.82,0.172
 김규연,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,3.47,0.42,0.134
 박세웅,5,5,4,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0.000,0.200,0.000,0.200,25,1.38,2.14,0.134
 켈리,5,5,5,1,2,0,0,1,5,2,0,0,0,2,0,0,0,0.400,0.400,1.000,1.400,23,0.64,1.51,0.132
 김동주,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,2.82,1.31,0.131
 김명신,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,4,2.46,0.51,0.092
 정구범,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,1.10,0.90,0.086
 노경은,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,2.32,0.42,0.082
 이지강,3,3,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,,1.000,,,16,1.14,1.05,0.075
 이정용,2,2,2,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,11,0.81,0.63,0.071
 배제성,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,12,0.87,0.64,0.068
 황동하,2,2,2,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,9,1.52,0.68,0.064
 정우영,3,2,2,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0.500,0.667,0.500,1.167,7,0.52,1.32,0.064
 송명기,3,2,2,1,1,0,0,1,4,2,0,0,0,1,0,1,0,0.500,0.500,2.000,2.500,8,0.73,1.38,0.064
 나균안,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,,0.500,,,6,1.47,0.57,0.056
 오원석,7,7,6,1,2,0,0,0,2,1,1,0,0,0,1,0,0,0.333,0.429,0.333,0.762,24,1.44,0.40,0.055
 백정현,6,6,6,1,2,0,1,0,4,3,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,18,0.72,1.03,0.055
 백승현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.78,0.41,0.054
 임정호,3,3,2,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,18,1.54,0.73,0.048
 알칸타라,3,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.500,0.667,0.500,1.167,8,0.48,0.51,0.045
 김광현,3,3,2,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.500,0.333,0.500,0.833,7,1.61,0.33,0.041
 한승주,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,1.21,0.12,0.039
 남지민,6,6,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.000,0.167,0.000,0.167,19,1.40,0.04,0.038
 와이드너,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,18,0.44,0.43,0.037
 최성훈,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.32,1.89,0.035
 홍정우,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,0.36,2.29,0.032
 신정락,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,9,0.63,0.17,0.030
 김대유,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.68,0.26,0.029
 맥카티,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,12,1.20,0.24,0.026
 최영환,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.54,0.69,0.026
 김기중,2,2,2,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,10,0.25,-0.12,0.025
 임준섭,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.37,0.84,0.025
 뷰캐넌,2,2,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,8,0.62,0.32,0.020
 정해영,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,6,0.25,-0.25,0.013
 하준영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.25,0.26,0.012
 김민,2,2,2,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0.500,0.500,1.000,1.500,9,1.06,0.32,0.007
 최이준,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.17,0.36,0.005
 김영규,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,0.07,1.00,0.004
 배민서,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.05,0.95,0.004
 최동환,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.05,0.73,0.004
 이병헌,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.06,0.16,0.002
 정우람,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,11,0.08,0.12,0.002
 김서준,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.02,0.73,0.002
 김유신,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.07,0.12,0.002
 조민석,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.03,0.42,0.002
 하준호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.04,0.26,0.001
 문용익,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,1,0.03,0.42,0.001
 김시훈,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,1.44,0.63,0.000
 김재열,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.01,0.68,0.000
 진승현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.00,-0.41,0.000
 김정우,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.00,1.12,0.000
 이영하,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.01,-0.37,0.000
 김선기,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.01,-0.10,0.000
 박준표,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.01,-0.48,0.000
 이상영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,0.02,-0.41,0.000
 김영현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,0.02,-0.26,0.000
 박정수,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,3,0.02,0.02,-0.001
 심재민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.03,-0.41,-0.001
 조이현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.06,-0.17,-0.001
 김재영,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.05,-0.26,-0.002
 김기훈,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,5,0.08,-0.36,-0.002
 장필준,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,0.08,-0.17,-0.002
 장현식,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.08,-0.48,-0.002
 이승현,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,0.11,-0.10,-0.003
 이상민,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,6,0.15,-0.39,-0.004
 김상수,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,0.20,-0.37,-0.006
 유영찬,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,1,0.75,-0.19,-0.007
 최원태,3,3,3,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,11,0.48,-0.36,-0.009
 이인복,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,0.50,-0.26,-0.013
 이의리,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,14,0.47,-1.00,-0.013
 쿠에바스,4,4,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.333,0.500,0.333,0.833,19,0.47,0.03,-0.013
 이로운,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.34,-0.48,-0.014
 주권,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2,0.46,-0.72,-0.017
 후라도,2,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,1.98,-0.29,-0.021
 파노니,3,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,9,1.25,-0.07,-0.023
 이승현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,1.07,-0.26,-0.027
 최원준,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,5,1.17,-0.48,-0.030
 노건우,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,11,0.53,-0.43,-0.030
 임찬규,6,6,5,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0.400,0.500,0.400,0.900,22,0.70,0.44,-0.032
 손동현,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,1,1.32,-0.10,-0.034
 오승환,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,1.23,-0.21,-0.035
 고효준,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,13,0.74,-0.53,-0.037
 이용찬,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,3,1.50,-0.26,-0.038
 함덕주,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,14,1.90,-0.35,-0.041
 신민혁,5,5,5,1,1,1,0,0,2,0,0,0,0,2,0,0,0,0.200,0.200,0.400,0.600,24,0.91,-0.43,-0.042
 주현상,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,4,1.88,-0.41,-0.043
 김강률,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,11,0.96,-0.67,-0.044
 브랜든,6,6,5,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.200,0.333,0.200,0.533,30,0.81,-0.65,-0.054
 류진욱,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,7,2.16,-0.26,-0.055
 황동재,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,14,0.72,-0.80,-0.058
 반즈,10,10,9,0,3,1,0,0,4,0,1,0,0,3,1,0,0,0.333,0.400,0.444,0.844,43,1.17,-0.46,-0.060
 산체스,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,8,1.16,-0.55,-0.069
 홍건희,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,3.09,-0.41,-0.071
 최승용,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,11,1.34,-0.82,-0.073
 서진용,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,6,2.87,-0.26,-0.073
 고우석,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,7,1.64,-0.42,-0.083
 윌커슨,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,9,1.45,-0.85,-0.090
 태너,6,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,19,0.72,-1.09,-0.097
 페디,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,15,0.98,-1.06,-0.098
 원태인,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,11,0.83,-1.77,-0.109
 양현종,6,6,6,1,2,0,0,0,2,0,0,0,0,1,1,0,0,0.333,0.333,0.333,0.666,21,0.80,-1.09,-0.111
 박상원,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,4,2.58,-0.75,-0.118
 구승민,3,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.000,0.000,0.000,0.000,12,1.88,-0.82,-0.134
