Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 김상수,2,2,2,0,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,3,1.02,0.84,0.117
 이원재,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,6,2.65,1.00,0.100
 정우영,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.86,1.16,0.100
 최지강,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.40,0.77,0.091
 뷰캐넌,6,6,6,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,17,1.03,0.78,0.087
 원태인,6,6,6,0,3,0,0,0,3,0,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,17,0.62,0.34,0.074
 양현종,8,8,8,0,4,0,0,0,4,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,31,1.44,0.18,0.069
 박세웅,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,6,1.20,0.90,0.068
 손동현,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.66,0.55,0.065
 이준호,2,2,1,2,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,8,1.22,0.73,0.060
 김명신,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.19,0.30,0.057
 정해영,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.80,0.26,0.055
 강효종,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,11,1.15,0.52,0.047
 우규민,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.25,0.12,0.036
 전사민,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.84,0.42,0.033
 이선우,3,3,3,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,10,0.38,0.17,0.030
 백승건,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,1.06,0.27,0.028
 김동주,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.72,0.26,0.028
 임준섭,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.66,0.42,0.026
 유영찬,2,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,5,2.67,0.84,0.024
 김강률,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.49,0.42,0.024
 주권,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.40,0.41,0.022
 스트레일리,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.82,0.10,0.022
 이인복,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.85,0.04,0.020
