Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 고우석,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,6.87,1.54,0.390
 김시훈,4,4,4,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,13,1.49,1.18,0.298
 와이드너,9,9,8,2,3,2,0,0,5,2,1,0,0,2,0,0,0,0.375,0.444,0.625,1.069,37,1.06,1.66,0.271
 노경은,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,2.95,1.49,0.257
 우규민,3,3,3,1,2,0,0,1,5,5,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,11,1.06,3.62,0.251
 오원석,5,5,5,2,4,2,0,0,6,1,0,0,0,0,0,0,0,0.800,0.800,1.200,2.000,17,0.91,2.40,0.228
 김태훈,3,3,3,0,2,1,0,0,3,1,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,17,0.75,0.89,0.216
 신민혁,3,3,3,2,2,0,0,1,5,3,0,0,0,1,0,0,0,0.667,0.667,1.667,2.334,5,1.20,2.15,0.213
 벤자민,5,5,4,1,1,0,0,1,4,2,1,0,0,2,0,0,0,0.250,0.400,1.000,1.400,23,1.31,1.22,0.210
 이재학,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0.000,8,1.70,1.85,0.206
 뷰캐넌,8,8,7,1,2,0,0,0,2,0,1,0,0,2,0,0,0,0.286,0.375,0.286,0.661,39,1.52,1.44,0.172
 류진욱,3,3,3,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,16,1.87,0.69,0.154
 심재민,2,2,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.35,1.47,0.148
 김동혁,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,4.62,0.69,0.135
 이민호,3,3,1,2,1,1,0,0,2,2,1,0,0,0,0,0,1,1.000,0.667,2.000,2.667,11,0.80,1.54,0.135
 메디나,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.75,1.42,0.132
 맥키니,3,3,3,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.333,0.333,1.333,1.666,13,0.83,1.23,0.122
 오승환,3,3,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,11,1.34,0.10,0.119
 반즈,9,9,7,1,2,1,0,0,3,0,1,1,0,5,0,0,0,0.286,0.444,0.429,0.873,42,1.07,1.12,0.103
 신정락,3,3,3,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,12,1.72,0.69,0.099
 김원중,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,8,2.63,0.26,0.097
 최이준,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.16,0.83,0.094
 쿠에바스,6,6,6,0,1,1,0,0,2,0,0,0,0,4,0,0,0,0.167,0.167,0.333,0.500,23,0.72,0.86,0.092
 김재웅,3,3,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0.000,0.667,0.000,0.667,15,2.59,0.93,0.090
 최원준,3,3,2,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,14,0.96,1.04,0.081
 최채흥,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.79,1.15,0.075
 김기훈,4,4,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0.000,0.500,0.000,0.500,21,0.72,0.27,0.073
 진승현,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.65,0.68,0.069
 손동현,3,3,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0.500,0.667,0.500,1.167,20,1.91,0.56,0.068
 김서준,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.97,0.73,0.065
 엄상백,2,2,2,2,2,1,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.500,2.500,5,0.69,0.69,0.060
 송영진,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,0.69,0.61,0.060
 이영하,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.69,0.68,0.060
 노건우,1,1,1,1,1,0,0,1,4,1,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,0.47,1.00,0.060
 임정호,4,4,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.250,0.000,0.250,15,0.78,0.29,0.055
 최원태,4,4,4,1,1,0,0,1,4,1,0,0,0,2,0,0,0,0.250,0.250,1.000,1.250,17,0.65,1.48,0.054
 김유신,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.17,0.42,0.046
 김성진,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,6,0.71,0.47,0.046
 양창섭,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,0.49,0.84,0.043
 최지민,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,10,2.72,0.59,0.040
 주권,2,2,2,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,0.66,0.76,0.035
 임준섭,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.16,0.46,0.034
 한현희,6,6,4,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0.250,0.500,0.250,0.750,34,0.82,0.29,0.031
 김진성,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,6,0.34,0.90,0.030
