Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 곽빈,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,14,2.07,2.27,0.338
 김윤식,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,2.64,1.77,0.229
 정찬헌,4,4,3,4,3,0,1,0,5,2,1,0,0,0,0,0,0,1.000,1.000,1.667,2.667,12,0.80,2.37,0.215
 문승원,5,5,5,1,2,0,0,1,5,1,0,0,0,0,1,0,0,0.400,0.400,1.000,1.400,12,1.23,0.18,0.188
 최원준,3,3,3,2,3,0,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.12,1.55,0.176
 이상민,3,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,13,1.04,1.46,0.152
 임창민,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,2.87,0.42,0.115
 한현희,3,3,3,0,1,0,1,0,3,3,0,0,0,1,0,0,0,0.333,0.333,1.000,1.333,9,1.64,1.63,0.098
 김상수,3,3,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,11,2.15,-0.16,0.095
 이승현,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.83,0.42,0.092
 홍건희,3,3,3,0,3,0,0,0,3,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,16,0.85,1.56,0.092
 맥카티,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,8,1.18,0.95,0.089
 최성영,2,2,2,1,1,0,0,1,4,1,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,9,0.57,0.74,0.087
 이용준,4,4,2,1,0,0,0,0,0,1,2,0,0,1,0,0,0,0.000,0.500,0.000,0.500,19,0.57,1.72,0.087
 유영찬,3,3,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,14,2.77,-0.39,0.085
 손주영,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,1.73,1.00,0.078
 이지강,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,1.97,0.68,0.074
 오승환,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.87,0.83,0.062
 임정호,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,1.15,0.26,0.053
 임찬규,5,5,5,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0.200,0.200,0.200,0.400,25,0.65,0.13,0.049
 스트레일리,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,15,1.29,0.52,0.048
 이우찬,3,3,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,0.45,1.28,0.047
 정우람,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,2,0.48,-0.06,0.040
 이명종,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,1.04,0.68,0.037
 이준호,3,3,3,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0.667,0.667,1.000,1.667,11,0.20,0.50,0.037
 김성진,3,3,2,1,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.89,0.49,0.034
 고영표,6,6,5,0,1,1,0,0,2,0,1,0,0,2,0,0,0,0.200,0.333,0.400,0.733,26,1.02,-0.16,0.033
 최준용,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,3,0.73,0.42,0.029
 원태인,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,8,0.58,0.62,0.027
 박영현,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0.42,0.27,0.023
 남지민,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,13,0.68,0.32,0.022
 최동환,2,2,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,11,0.26,0.84,0.020
 박명근,4,4,4,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0.250,0.250,0.250,0.500,18,1.51,-0.05,0.019
 정철원,3,3,3,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.333,0.333,1.333,1.666,5,2.19,0.78,0.015
 박정수,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,3,0.38,0.26,0.013
 오석주,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.14,0.84,0.012
 이승현,3,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,13,0.88,0.71,0.012
 김대현,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.19,0.68,0.009
 이상규,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.27,0.45,0.008
 진해수,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,7,0.37,0.46,0.006
 양현,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,2,0.06,1.13,0.005
 최민준,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,3,0.67,0.02,0.004
 김민수,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,7,0.04,-0.05,0.003
 김영규,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,0.02,0.42,0.001
 채지선,1,1,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,1.000,1.000,3.000,4.000,3,0.00,1.45,0.001
 윤호솔,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,6,0.01,1.22,0.000
