Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 윤명준,2,2,2,1,1,0,0,1,4,4,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,5,3.08,2.99,0.700
 김태훈,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,2.37,1.74,0.327
 김시훈,2,2,2,1,1,0,0,1,4,3,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,13,2.27,-1.19,0.286
 송명기,2,2,1,1,1,0,0,1,4,2,1,0,0,0,0,0,0,1.000,1.000,4.000,5.000,8,1.18,2.41,0.184
 홍건희,3,3,3,1,2,0,0,0,2,0,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,10,2.02,0.52,0.150
 메디나,2,2,1,0,1,1,0,0,2,2,1,0,0,0,0,0,0,1.000,1.000,2.000,3.000,13,1.12,1.29,0.149
 윤영철,2,2,2,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,4,2.01,1.02,0.139
 쿠에바스,6,6,6,0,4,0,0,0,4,1,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,20,1.12,1.28,0.138
 김재윤,4,4,3,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0.667,0.750,0.667,1.417,10,2.21,1.10,0.135
 벤자민,3,3,3,0,1,1,0,0,2,1,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,12,1.63,1.13,0.127
 김유신,2,2,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.67,1.26,0.114
 황동재,2,2,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.94,0.98,0.089
 강재민,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.90,0.45,0.085
 이용찬,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,1.13,0.53,0.073
 문용익,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1.000,,,4,1.86,1.00,0.072
 남지민,6,6,4,1,1,0,0,0,1,1,2,0,0,1,0,0,0,0.250,0.500,0.250,0.750,24,1.03,0.91,0.064
 양현종,6,6,6,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,25,0.79,0.00,0.060
 이의리,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.85,0.69,0.058
 김진욱,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.86,0.52,0.053
 노경은,3,3,2,1,1,0,0,1,4,2,1,0,0,1,0,0,0,0.500,0.667,2.000,2.667,12,1.21,1.74,0.046
 이로운,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,1.55,0.69,0.045
 장현식,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.500,0.000,0.500,8,1.75,0.24,0.045
 한승주,4,4,4,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,9,0.62,0.50,0.043
 신민혁,1,1,1,0,1,1,0,0,2,3,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.79,1.86,0.042
 한승혁,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0.99,0.42,0.040
 최원준,3,3,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,10,1.62,-0.35,0.031
 박명근,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.500,0.000,0.500,4,1.55,-0.21,0.030
