Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 배제성,17,17,16,3,8,3,0,0,11,1,1,0,0,1,0,0,0,0.500,0.529,0.688,1.217,65,0.95,4.20,0.425
 김재웅,3,3,2,1,1,0,0,1,4,2,1,0,0,0,0,0,0,0.500,0.667,2.000,2.667,11,2.41,1.68,0.401
 박종훈,6,6,4,2,1,0,0,1,4,4,2,0,0,0,0,0,0,0.250,0.500,1.000,1.500,25,1.46,2.11,0.355
 최성영,5,5,5,2,4,0,1,1,9,3,0,0,0,0,0,0,0,0.800,0.800,1.800,2.600,17,1.03,3.40,0.347
 손동현,5,5,5,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0.400,0.400,1.000,1.400,14,0.73,1.48,0.303
 이민우,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,2.86,1.28,0.182
 오원석,9,9,7,1,2,0,0,0,2,0,1,1,0,1,0,0,0,0.286,0.444,0.286,0.730,34,0.96,1.96,0.171
 백정현,3,3,3,1,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,10,1.19,1.03,0.163
 양현,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,3,1.50,1.58,0.163
 엘리아스,5,5,5,3,3,0,0,2,9,2,0,0,0,0,1,0,0,0.600,0.600,1.800,2.400,22,0.96,1.18,0.149
 산체스,5,5,5,1,2,0,0,1,5,2,0,0,0,0,0,0,0,0.400,0.400,1.000,1.400,12,0.90,1.13,0.148
 송명기,6,6,5,1,2,0,0,0,2,2,0,1,0,0,0,0,0,0.400,0.500,0.400,0.900,20,1.06,0.72,0.136
 우규민,3,3,2,2,2,0,0,1,5,1,0,1,0,0,0,0,0,1.000,1.000,2.500,3.500,11,0.94,1.68,0.135
 장민재,3,3,3,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,9,0.71,1.00,0.135
 최원준,10,10,9,2,2,0,0,1,5,3,1,0,0,1,1,0,0,0.222,0.300,0.556,0.856,41,0.95,0.44,0.112
 켈리,12,12,12,2,3,0,0,1,6,3,0,0,0,3,0,0,0,0.250,0.250,0.500,0.750,35,1.02,0.94,0.111
 최민준,4,4,4,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,22,0.92,1.61,0.104
 백승현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.63,0.26,0.097
 박준표,2,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.21,0.68,0.092
