Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 류진욱,2,2,2,1,1,0,1,0,3,1,0,0,0,1,0,0,0,0.500,0.500,1.500,2.000,11,0.95,0.69,0.311
 김재윤,2,2,1,1,1,0,1,0,3,0,1,0,1,0,0,0,0,1.000,1.000,3.000,4.000,6,2.87,1.07,0.305
 벤자민,9,9,9,2,6,1,1,0,9,1,0,0,0,1,0,0,0,0.667,0.667,1.000,1.667,37,0.66,3.27,0.224
 엘리아스,11,11,10,0,5,1,0,0,6,1,1,0,0,0,0,0,0,0.500,0.545,0.600,1.145,39,0.96,1.26,0.222
 배제성,10,9,8,2,4,0,0,0,4,0,1,0,0,2,0,1,0,0.500,0.556,0.500,1.056,47,0.97,1.83,0.208
 뷰캐넌,10,10,8,1,5,0,0,0,5,1,2,0,0,1,0,0,0,0.625,0.700,0.625,1.325,48,0.90,1.62,0.180
 유영찬,6,6,6,1,2,1,1,0,5,2,0,0,0,0,0,0,0,0.333,0.333,0.833,1.166,19,1.37,1.30,0.166
 김범수,4,4,3,1,1,0,0,0,1,2,0,0,0,1,0,0,1,0.333,0.250,0.333,0.583,16,2.71,-0.01,0.144
 안우진,6,6,5,1,2,0,0,0,2,1,1,0,0,0,0,0,0,0.400,0.500,0.400,0.900,26,1.18,0.95,0.143
 오승환,4,4,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0.333,0.500,0.333,0.833,19,3.52,0.21,0.142
 전상현,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,1.97,1.05,0.141
 문경찬,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,3.47,0.42,0.134
 노경은,4,3,2,2,2,0,0,0,2,0,1,0,0,0,0,1,0,1.000,1.000,1.000,2.000,22,1.75,0.79,0.124
 우규민,3,3,2,0,2,0,0,0,2,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,9,1.12,0.98,0.115
 맥카티,5,5,2,1,1,0,0,0,1,0,3,0,0,1,0,0,0,0.500,0.800,0.500,1.300,28,0.70,1.12,0.113
 김광현,8,8,7,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0.429,0.500,0.429,0.929,39,1.14,2.00,0.112
 김원중,3,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.000,0.667,0.000,0.667,17,2.28,0.66,0.105
 서진용,5,5,3,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0.667,0.800,0.667,1.467,20,1.56,1.54,0.105
 김상수,2,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,8,0.70,0.61,0.102
 장현식,4,4,4,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0.250,0.250,0.250,0.500,12,1.40,-0.94,0.094
 김영현,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,2.12,0.77,0.089
 이의리,3,3,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,9,1.79,0.69,0.087
 맥키니,5,5,4,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0.500,0.600,0.500,1.100,17,0.96,1.05,0.087
 후라도,4,4,3,0,1,1,0,0,2,1,0,1,0,0,0,0,0,0.333,0.500,0.667,1.167,12,1.17,1.04,0.084
 김진성,2,2,2,1,2,0,1,0,4,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,4,0.44,0.83,0.080
 하영민,5,5,5,2,3,0,0,0,3,1,0,0,0,0,0,0,0,0.600,0.600,0.600,1.200,17,0.62,1.28,0.075
 나균안,9,9,8,2,2,1,1,0,5,0,1,0,0,0,0,0,0,0.250,0.333,0.625,0.958,38,0.99,0.90,0.068
 황동하,3,3,1,2,1,0,0,0,1,0,1,1,0,0,0,0,0,1.000,1.000,1.000,2.000,16,0.75,1.25,0.066
 윌커슨,6,6,5,1,3,0,0,0,3,0,1,0,0,2,0,0,0,0.600,0.667,0.600,1.267,27,0.67,0.48,0.061
 이재익,4,4,3,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,21,0.73,0.89,0.057
 임기영,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1.000,,,11,1.84,0.37,0.056
 이지강,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,14,1.49,0.58,0.056
 문성현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.71,0.78,0.054
 이명종,4,4,3,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0.667,0.750,0.667,1.417,17,0.61,0.31,0.052
 정우람,2,2,2,1,1,0,1,0,3,0,0,0,0,1,0,0,0,0.500,0.500,1.500,2.000,6,0.27,0.34,0.040
 김진욱,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,15,1.04,0.49,0.038
 조이현,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.87,0.42,0.036
 김도규,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,0.89,0.45,0.034
 황동재,3,3,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,16,2.14,0.12,0.034
 이우찬,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1.000,,,6,0.87,0.26,0.033
 한승혁,3,3,3,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,15,0.45,0.58,0.033
