Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 이승현,2,2,2,2,2,0,0,1,5,4,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,6,4.22,-0.62,0.828
 문동주,10,10,7,4,3,1,0,0,4,3,2,1,0,1,0,0,0,0.429,0.600,0.571,1.171,40,1.24,3.36,0.378
 하준영,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,1,2.10,2.61,0.352
 박세웅,9,9,9,3,6,2,0,0,8,3,0,0,0,2,0,0,0,0.667,0.667,0.889,1.556,32,1.19,2.90,0.280
 한승주,3,3,3,1,2,1,0,1,6,2,0,0,0,0,0,0,0,0.667,0.667,2.000,2.667,9,0.95,2.36,0.277
 이병헌,2,2,2,1,1,0,0,1,4,3,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,7,1.57,1.60,0.269
 김범수,5,5,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.250,0.400,0.250,0.650,22,2.00,0.39,0.267
 손동현,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,6,2.75,0.84,0.250
 박명근,1,1,1,1,1,0,0,1,4,4,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,4,3.04,2.13,0.232
 서진용,3,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.667,0.500,1.167,19,2.79,0.79,0.226
 최원준,5,5,4,1,1,0,0,1,4,2,0,1,0,0,0,0,0,0.250,0.400,1.000,1.400,18,1.01,1.21,0.218
 박영현,4,4,4,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0.500,0.500,0.500,1.000,18,1.25,0.75,0.211
 나균안,5,5,5,1,3,1,0,0,4,2,0,0,0,1,0,0,0,0.600,0.600,0.800,1.400,26,1.12,1.86,0.181
 송명기,6,6,5,2,3,2,0,1,8,3,1,0,0,0,0,0,0,0.600,0.667,1.600,2.267,27,0.56,3.60,0.179
 켈리,6,6,5,1,2,0,0,0,2,1,1,0,0,1,0,0,0,0.400,0.500,0.400,0.900,18,1.31,1.40,0.176
 박치국,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,16,1.54,1.42,0.169
 임정호,2,2,2,1,2,0,0,1,5,1,0,0,0,0,0,0,0,1.000,1.000,2.500,3.500,4,1.00,1.42,0.163
 이충호,2,2,2,1,1,0,0,1,4,2,0,0,0,1,0,0,0,0.500,0.500,2.000,2.500,7,0.47,1.79,0.160
 구창모,3,3,3,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,15,1.74,0.77,0.151
 김진성,5,5,4,2,2,0,0,2,8,3,1,0,0,1,0,0,0,0.500,0.600,2.000,2.600,13,0.70,2.77,0.144
 맥카티,1,1,1,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,3.04,1.31,0.144
