Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 한승혁,1,1,1,1,1,0,0,1,4,2,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,2,1.48,1.88,0.330
 반즈,7,7,7,2,4,0,0,1,7,4,0,0,0,0,0,0,0,0.571,0.571,1.000,1.571,33,0.83,2.99,0.299
 송명기,5,5,5,2,4,0,0,1,7,1,0,0,0,0,0,0,0,0.800,0.800,1.400,2.200,17,0.90,3.09,0.271
 이지강,3,3,3,1,2,0,0,1,5,4,0,0,0,0,0,0,0,0.667,0.667,1.667,2.334,8,1.36,3.57,0.261
 최원태,6,6,6,3,3,0,0,2,9,4,0,0,0,0,0,0,0,0.500,0.500,1.500,2.000,21,0.83,2.42,0.256
 이인복,3,3,3,0,2,0,0,0,2,3,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,9,1.56,2.49,0.239
 정해영,4,4,4,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,14,2.03,0.84,0.193
 오원석,8,8,8,1,2,1,0,1,6,5,0,0,0,1,0,0,0,0.250,0.250,0.750,1.000,34,1.31,1.13,0.190
 파노니,5,5,3,2,2,1,0,0,3,0,2,0,0,0,0,0,0,0.667,0.800,1.000,1.800,18,1.22,1.86,0.182
 함덕주,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,5,6.11,0.69,0.176
 알칸타라,9,9,7,1,1,0,0,1,4,1,2,0,0,0,0,0,0,0.143,0.333,0.571,0.904,40,0.77,1.48,0.173
 이용준,7,7,3,2,1,0,0,1,4,1,3,1,0,0,0,0,0,0.333,0.714,1.333,2.047,31,1.31,1.73,0.173
 이상영,2,2,2,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0.500,0.500,1.000,1.500,7,1.70,1.42,0.164
 문성현,3,3,3,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,11,0.91,0.07,0.161
 브랜든,9,9,8,1,4,0,0,0,4,1,1,0,0,2,0,0,0,0.500,0.556,0.500,1.056,40,0.98,1.62,0.158
 김재윤,3,3,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0.667,0.667,0.667,1.334,8,2.64,1.55,0.158
 김기중,6,6,6,0,3,1,0,0,4,2,0,0,0,1,1,0,0,0.500,0.500,0.667,1.167,22,1.29,2.53,0.145
 홍건희,6,6,5,2,2,0,0,0,2,1,0,0,0,2,1,0,1,0.400,0.333,0.400,0.733,19,2.20,0.34,0.137
 손동현,3,3,3,0,2,2,0,0,4,1,0,0,0,0,0,0,0,0.667,0.667,1.333,2.000,11,0.98,1.62,0.122
 나균안,9,9,7,2,5,0,0,0,5,0,2,0,1,1,0,0,0,0.714,0.778,0.714,1.492,29,0.96,1.47,0.114
 박종훈,3,3,3,1,1,1,0,0,2,2,0,0,0,1,0,0,0,0.333,0.333,0.667,1.000,8,0.97,0.31,0.113
 최성영,8,8,6,0,3,0,0,0,3,0,2,0,0,1,0,0,0,0.500,0.625,0.500,1.125,36,0.95,1.18,0.103
 맥카티,8,8,8,0,2,1,0,0,3,2,0,0,0,2,0,0,0,0.250,0.250,0.375,0.625,30,1.46,0.53,0.090
 김동주,7,7,7,2,4,1,0,1,8,2,0,0,0,0,0,0,0,0.571,0.571,1.143,1.714,19,0.69,1.60,0.089
 장원준,4,4,3,2,3,0,0,0,3,0,1,0,0,0,0,0,0,1.000,1.000,1.000,2.000,10,0.57,1.06,0.086
 신민혁,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,10,0.92,0.74,0.084
 최영환,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,4,2.10,0.68,0.080
