Pitcher,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
 한승주,1,1,1,1,1,0,0,1,4,3,0,0,0,0,0,0,0,1.000,1.000,4.000,5.000,7,2.71,2.56,0.450
 고우석,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,3.72,1.19,0.227
 우규민,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,3.25,1.28,0.209
 정철원,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,3,4.60,0.77,0.170
 박종훈,2,2,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,1.47,1.39,0.155
 이우찬,2,2,2,1,1,0,0,1,4,2,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,4,0.61,1.39,0.138
 김범수,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,3.47,0.42,0.134
 플럿코,2,2,2,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,7,1.41,1.12,0.123
 수아레즈,3,3,3,1,2,0,0,0,2,2,0,0,0,1,0,0,0,0.667,0.667,0.667,1.334,8,0.88,1.74,0.111
 스트레일리,2,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.000,0.500,0.000,0.500,10,2.01,0.74,0.081
 노경은,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,5,1.91,0.42,0.077
 켈리,3,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.333,0.000,0.333,13,1.63,0.30,0.069
 임찬규,7,7,5,1,1,0,0,1,4,2,1,0,0,1,0,0,1,0.200,0.286,0.800,1.086,30,0.82,0.17,0.065
 원태인,2,2,2,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0.500,0.500,2.000,2.500,7,1.13,0.46,0.058
 최동환,1,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.92,0.73,0.058
 송명기,3,3,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0.500,0.667,0.500,1.167,6,0.66,0.81,0.056
 서진용,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500,1.000,5,2.05,0.28,0.055
 박치국,1,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,5,0.94,0.27,0.050
 송영진,1,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,1,0.93,0.71,0.035
 김광현,5,5,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.200,0.200,0.200,0.400,11,1.09,1.26,0.034
 오원석,5,5,5,1,1,0,0,1,4,2,0,0,0,4,0,0,0,0.200,0.200,0.800,1.000,27,1.13,0.68,0.029
 이정용,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.65,0.26,0.026
 최지광,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,0.80,0.12,0.025
 반즈,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,11,0.52,0.10,0.025
 이지강,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,11,0.73,0.15,0.024
 손주영,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1.000,,,6,1.00,0.23,0.022
 김강률,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,4,0.34,0.42,0.018
