이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
박세혁,19, C,2.670,135,128,1071.2,849,786,55,8,99.1,7.06,0.15,,-0.23,,0.10,-1.45,0.37,16.36,15.30,16.08,11.98,27.28,1.498
양의지,23, C,1.982,97,94,773.0,686,635,48,3,99.6,7.95,0.06,,1.56,,-0.01,1.63,1.62,6.59,11.45,12.78,9.02,20.47,1.109
김재호,19, SS,1.701,130,116,993.1,507,158,339,10,98.0,4.50,8.53,,0.89,-1.36,,,,,8.06,8.92,9.32,17.38,0.789
강승호,21, 2B,1.639,103,82,686.1,368,137,226,5,98.6,4.76,13.02,,0.37,0.67,,,,,14.06,17.92,3.08,17.14,1.345
박세혁,22, C,1.628,126,110,884.0,762,689,68,5,99.3,7.71,-0.34,,0.28,,0.26,-0.95,2.10,5.82,7.17,8.06,9.50,16.67,0.700
김재호,23, SS,1.228,86,71,611.1,294,119,166,9,96.9,4.20,7.18,,-0.45,0.13,,,,,6.87,10.87,5.82,12.69,0.665
안재석,22, SS,1.149,72,54,459.2,256,99,144,13,94.9,4.76,6.96,,-0.21,1.00,,,,,7.75,11.28,4.02,11.77,0.757
강승호,22, 2B,1.103,124,110,945.1,518,204,300,14,97.3,4.80,6.46,,0.62,-0.34,,,,,6.74,7.24,4.56,11.30,0.658
정수빈,19, CF,1.037,121,114,1012.2,309,302,4,3,99.0,2.72,10.27,0.52,-0.19,,,,,,10.60,12.41,0.00,10.60,1.037
김인태,21, RF,0.815,83,75,536.0,149,145,4,0,100.0,2.50,10.54,0.13,0.74,,,,,,11.40,12.35,-2.88,8.52,1.091
허경민,23, 3B,0.738,126,116,997.2,250,90,155,5,98.0,2.21,5.55,,2.28,-0.43,0.21,,,,7.62,8.44,0.00,7.62,0.738
박계범,21, SS,0.720,64,43,374.1,158,70,87,1,99.4,3.77,2.56,,0.61,0.77,,,,,3.93,4.79,3.60,7.53,0.376
허경민,20, 3B,0.646,103,99,872.2,252,84,160,8,96.8,2.52,6.95,,0.01,0.57,-0.21,,,,7.32,9.01,0.00,7.32,0.646
박세혁,21, C,0.627,96,73,575.1,549,495,50,4,99.3,8.53,0.20,,0.36,,-0.24,-0.11,1.67,-1.54,0.34,0.50,6.22,6.55,0.032
