이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
양의지,23, C,6.10,5.01,1.09,129,510,502,439,56,134,23,0,17,208,68,8,0,57,11,8,56,20,0,3,0.305,0.396,0.474,0.870,0.051,146.4
박세혁,19, C,6.03,2.98,3.05,137,505,495,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,0.279,0.345,0.390,0.735,0.009,111.2
페르난데스,19, DH,5.73,7.49,-1.76,144,645,643,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,0.344,0.409,0.483,0.892,0.069,162.0
최주환,20, 2B,5.30,4.61,0.68,140,574,570,509,63,156,29,4,16,241,88,2,2,47,7,5,66,7,1,10,0.306,0.366,0.473,0.839,0.038,131.3
오재일,19, 1B,5.14,4.97,0.17,130,529,529,467,76,137,29,1,21,231,102,2,1,55,3,1,99,5,0,4,0.293,0.369,0.495,0.864,0.048,144.6
박건우,19, RF,5.13,5.59,-0.46,127,537,536,458,83,146,27,5,10,213,64,12,3,60,7,0,57,23,1,11,0.319,0.397,0.465,0.862,0.053,148.4
페르난데스,20, DH,4.96,6.42,-1.45,144,668,667,586,104,199,29,0,21,291,105,0,1,58,13,1,42,26,0,11,0.340,0.404,0.497,0.901,0.055,144.8
박건우,21, RF,4.95,5.74,-0.79,126,525,523,458,82,149,31,2,6,202,63,13,0,50,11,2,72,16,0,6,0.325,0.400,0.441,0.841,0.058,150.4
정수빈,23, CF,4.87,4.06,0.81,137,583,571,498,75,143,14,11,2,185,33,39,8,64,7,1,63,2,12,2,0.287,0.375,0.371,0.746,0.016,117.4
김재환,21, LF,4.77,6.22,-1.44,137,566,564,475,86,130,23,2,27,238,102,2,3,81,5,3,127,9,0,5,0.274,0.382,0.501,0.883,0.065,156.2
김재호,19, SS,4.53,2.82,1.71,130,470,460,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,0.268,0.379,0.358,0.737,0.012,114.1
박건우,20, RF,4.21,4.56,-0.34,129,551,547,487,103,148,40,0,14,230,70,8,2,42,12,2,65,9,3,7,0.304,0.369,0.472,0.841,0.038,131.7
허경민,20, 3B,4.21,3.09,1.11,117,487,484,437,70,145,25,1,7,193,58,14,6,35,5,2,28,10,3,7,0.332,0.382,0.442,0.824,0.018,116.2
정수빈,19, CF,3.79,2.54,1.25,123,513,509,441,75,117,19,5,0,146,41,26,8,57,6,0,60,6,4,5,0.265,0.354,0.331,0.685,-0.003,101.6
김재환,20, LF,3.58,5.34,-1.76,140,614,613,516,82,137,26,1,30,255,113,6,0,91,1,3,154,14,0,6,0.266,0.373,0.494,0.867,0.043,135.6
강승호,22, 2B,3.56,2.33,1.23,134,487,481,444,54,117,28,1,10,177,62,13,5,29,3,0,100,8,6,5,0.264,0.310,0.399,0.709,-0.002,100.9
김재환,19, LF,3.49,4.10,-0.61,136,574,570,495,76,140,20,5,15,215,91,3,1,63,5,5,113,7,0,11,0.283,0.362,0.434,0.796,0.023,123.5
김인태,21, LF,3.42,2.28,1.14,133,418,413,344,51,89,15,1,8,130,46,0,2,62,3,0,67,10,5,4,0.259,0.373,0.378,0.751,0.009,110.5
정수빈,20, CF,3.35,3.09,0.26,141,559,552,490,84,146,17,8,5,194,59,15,6,55,2,3,56,10,7,5,0.298,0.368,0.396,0.764,0.008,109.0
양석환,23, 1B,3.33,3.63,-0.30,140,582,579,524,73,147,28,0,21,238,89,4,0,41,6,3,133,9,0,11,0.281,0.333,0.454,0.787,0.016,117.5
김재호,23, SS,3.30,2.38,0.92,91,302,287,247,32,70,13,0,3,92,29,4,0,30,8,2,24,11,15,2,0.283,0.376,0.372,0.748,0.028,126.4
페르난데스,21, 1B,3.09,5.48,-2.39,141,617,614,540,73,170,24,0,15,239,81,0,2,65,6,3,35,25,0,6,0.315,0.391,0.443,0.834,0.044,139.2
허경민,19, 3B,3.03,3.08,-0.05,133,540,536,475,71,137,25,1,4,176,60,11,5,34,17,2,36,16,3,11,0.288,0.350,0.371,0.721,0.008,110.8
허경민,24, 3B,2.87,2.40,0.47,52,213,213,185,35,68,15,0,2,89,30,2,0,14,10,0,11,1,0,4,0.368,0.432,0.481,0.913,0.070,151.5
강승호,21, SS,2.81,1.16,1.65,113,340,331,301,47,72,16,2,7,113,37,8,2,22,6,1,78,8,8,3,0.239,0.301,0.375,0.676,-0.019,88.3
김재환,22, LF,2.75,3.97,-1.22,128,517,514,448,64,111,24,1,23,206,72,2,1,61,4,4,133,5,0,4,0.248,0.340,0.460,0.800,0.030,128.2
박계범,21, SS,2.75,2.20,0.55,118,385,378,322,44,86,12,1,5,115,46,4,3,44,9,0,68,8,7,3,0.267,0.368,0.357,0.725,0.009,110.6
오재일,20, 1B,2.75,4.34,-1.59,127,534,533,471,62,147,32,0,16,227,89,2,1,61,0,1,92,12,0,2,0.312,0.390,0.482,0.872,0.039,132.5
로하스,23, LF,2.41,4.12,-1.71,122,464,463,403,52,102,24,4,19,191,65,0,1,55,3,2,68,5,0,3,0.253,0.345,0.474,0.819,0.043,140.5
양석환,21, 3B,2.38,4.22,-1.83,133,546,545,488,66,133,22,0,28,239,96,2,3,42,9,2,136,10,0,7,0.273,0.337,0.490,0.827,0.032,129.6
허경민,23, 3B,2.35,1.56,0.79,130,475,472,429,44,115,23,1,7,161,48,9,3,35,6,3,26,6,0,5,0.268,0.328,0.375,0.703,-0.017,89.7
박세혁,22, C,2.32,0.46,1.86,128,402,393,351,33,87,13,1,3,111,41,2,2,33,6,1,71,4,8,4,0.248,0.320,0.316,0.636,-0.033,75.2
김재호,20, SS,2.14,2.02,0.12,120,458,455,402,48,116,15,1,2,139,39,6,2,45,4,1,45,17,2,5,0.289,0.362,0.346,0.708,-0.004,100.0
양의지,24, C,2.10,2.11,-0.02,58,240,238,220,26,78,11,0,8,113,52,2,0,12,3,2,21,6,0,5,0.355,0.388,0.514,0.902,0.050,135.8
허경민,22, 3B,2.08,3.59,-1.51,121,493,489,432,59,125,23,0,8,172,60,10,3,36,16,3,40,12,2,7,0.289,0.360,0.398,0.758,0.023,123.0
박세혁,20, C,2.07,1.48,0.59,124,423,414,360,47,97,18,2,4,131,51,5,3,35,12,0,45,7,9,7,0.269,0.348,0.364,0.712,-0.015,91.6
강승호,23, 2B,1.98,1.88,0.09,127,459,455,419,51,111,18,6,7,162,59,13,6,27,6,0,110,12,4,3,0.265,0.316,0.387,0.703,-0.007,98.5
정수빈,22, CF,1.97,1.41,0.56,127,455,448,405,58,105,12,4,3,134,41,15,8,39,1,1,56,2,6,4,0.259,0.323,0.331,0.654,-0.016,89.2
강승호,24, 2B,1.92,1.35,0.57,66,272,270,254,36,72,14,5,10,126,42,9,3,13,1,1,86,2,1,3,0.283,0.317,0.496,0.813,0.008,104.0
박준영,23, 3B,1.88,0.65,1.23,51,138,137,127,16,29,8,2,4,53,17,2,1,9,2,1,53,0,0,0,0.228,0.290,0.417,0.707,-0.001,103.1
김인태,22, RF,1.88,1.72,0.16,83,279,279,235,25,58,6,0,5,79,25,1,0,41,3,1,47,6,0,0,0.247,0.366,0.336,0.702,0.014,115.0
류지혁,19, SS,1.78,0.87,0.92,118,316,310,276,36,69,6,2,0,79,34,18,5,24,7,0,40,6,6,3,0.250,0.323,0.286,0.609,-0.026,82.4
라모스,24, RF,1.73,2.27,-0.54,53,230,229,205,29,66,14,3,7,107,41,2,1,17,1,0,33,2,1,6,0.322,0.367,0.522,0.889,0.061,143.8
이유찬,23, 2B,1.43,0.53,0.90,104,239,234,210,31,51,7,2,1,65,16,12,5,20,3,0,51,0,5,1,0.243,0.316,0.310,0.626,-0.029,80.0
정수빈,21, CF,1.43,1.42,0.01,104,351,347,313,50,81,19,4,3,117,37,12,7,29,3,1,50,7,4,2,0.259,0.326,0.374,0.700,-0.010,95.6
조수행,21, CF,1.33,0.98,0.35,115,104,103,84,34,24,2,1,1,31,8,21,4,16,3,0,26,1,1,0,0.286,0.417,0.369,0.786,0.036,132.2
조수행,24, LF,1.31,0.86,0.45,59,179,172,154,32,44,2,1,0,48,11,33,3,17,0,1,19,1,7,1,0.286,0.355,0.312,0.667,-0.021,82.8
안재석,22, SS,1.24,-0.09,1.34,99,264,260,235,22,50,10,0,3,69,17,4,0,19,4,1,71,5,4,2,0.213,0.281,0.294,0.575,-0.050,60.9
정수빈,24, CF,1.20,0.77,0.42,64,284,279,241,47,61,8,3,2,81,18,24,3,29,4,1,32,5,5,5,0.253,0.337,0.336,0.673,-0.023,80.5
이유찬,24, 3B,1.18,0.61,0.56,39,65,65,57,15,20,3,0,1,26,7,5,4,7,1,0,10,2,0,0,0.351,0.431,0.456,0.887,0.070,151.3
양석환,22, 1B,1.16,2.57,-1.41,107,446,444,405,58,99,14,1,20,175,51,1,0,32,7,3,101,3,0,2,0.244,0.309,0.432,0.741,0.010,111.8
안권수,22, RF,1.11,1.45,-0.33,76,267,266,239,43,71,7,2,0,82,20,3,4,26,1,0,40,6,1,0,0.297,0.368,0.343,0.711,0.009,110.8
안재석,21, 2B,0.99,0.49,0.50,96,224,224,200,28,51,8,2,2,69,14,1,0,16,4,0,53,4,0,4,0.255,0.317,0.345,0.662,-0.031,78.0
양석환,24, 1B,0.93,1.78,-0.85,66,274,274,245,39,60,13,0,16,121,49,3,2,25,3,0,58,11,0,1,0.245,0.321,0.494,0.815,0.025,117.2
박준영,24, SS,0.89,0.35,0.54,34,118,117,99,16,21,5,1,4,40,14,0,0,15,2,0,32,0,1,1,0.212,0.325,0.404,0.729,-0.005,94.0
최주환,19, 2B,0.79,1.09,-0.30,87,325,325,285,27,79,13,0,4,104,47,0,0,28,1,0,35,10,0,11,0.277,0.332,0.365,0.697,-0.014,91.9
김재환,24, DH,0.69,1.60,-0.90,62,254,251,213,33,55,11,0,14,108,45,0,0,31,4,3,77,6,0,6,0.258,0.354,0.507,0.861,0.024,115.9
김인태,19, LF,0.67,0.46,0.21,26,70,69,60,6,14,2,1,2,24,7,1,1,8,0,0,12,2,1,1,0.233,0.319,0.400,0.719,0.004,107.5
이유찬,20, 2B,0.67,0.58,0.09,101,108,106,89,30,23,2,1,0,27,6,13,4,14,2,0,25,2,2,1,0.258,0.368,0.303,0.671,-0.005,99.2
박세혁,21, C,0.61,0.01,0.60,96,270,267,237,25,52,12,0,0,64,30,4,2,22,5,0,43,6,3,3,0.219,0.296,0.270,0.566,-0.051,62.6
이흥련,19, C,0.60,0.25,0.35,27,44,44,42,3,13,2,1,0,17,5,0,0,2,0,0,12,1,0,0,0.310,0.341,0.405,0.746,0.012,114.3
김대한,22, RF,0.60,0.55,0.04,51,110,108,96,13,23,6,1,4,43,11,2,1,5,6,0,27,0,2,1,0.240,0.315,0.448,0.763,0.012,112.8
김재호,22, SS,0.57,-0.18,0.75,102,264,257,223,26,48,7,0,1,58,21,0,2,28,2,0,33,5,7,4,0.215,0.304,0.260,0.564,-0.052,60.0
양찬열,22, RF,0.53,0.41,0.13,41,94,93,82,15,20,4,0,3,33,12,0,0,11,0,0,23,2,1,0,0.244,0.333,0.402,0.735,-0.004,99.5
김재호,21, SS,0.52,-0.01,0.54,89,251,245,211,23,44,8,0,1,55,24,1,1,29,2,0,34,7,6,3,0.209,0.306,0.261,0.567,-0.050,64.0
장승현,21, C,0.50,0.49,0.01,92,211,205,177,18,41,10,0,2,57,27,0,0,19,8,0,50,2,6,1,0.232,0.332,0.322,0.654,-0.020,87.9
김기연,24, C,0.49,0.22,0.27,34,100,100,91,13,25,5,0,2,36,9,0,2,7,2,0,17,3,0,0,0.275,0.340,0.396,0.736,-0.003,95.5
백동훈,19, RF,0.49,-0.18,0.67,41,52,52,47,8,8,2,0,0,10,2,0,1,4,1,0,16,0,0,0,0.170,0.250,0.213,0.463,-0.082,34.6
조수행,23, RF,0.49,-0.01,0.49,126,249,245,219,41,48,2,1,1,55,17,26,6,23,2,0,38,2,4,1,0.219,0.298,0.251,0.549,-0.052,60.3
김재환,23, DH,0.48,1.65,-1.17,132,484,481,405,40,89,15,0,10,134,46,3,1,72,5,4,100,8,0,2,0.220,0.343,0.331,0.674,-0.012,93.9
페르난데스,22, DH,0.48,2.87,-2.39,139,550,550,508,52,157,28,0,6,203,77,0,0,35,2,0,45,34,0,5,0.309,0.353,0.400,0.753,0.005,107.7
안승한,22, C,0.43,0.30,0.13,30,39,38,36,5,12,3,0,0,15,8,0,0,2,0,0,12,0,1,0,0.333,0.368,0.417,0.785,0.014,115.0
안권수,21, LF,0.42,0.14,0.28,87,47,45,42,17,10,0,1,0,12,4,3,0,3,0,0,3,0,2,0,0.238,0.289,0.286,0.575,-0.019,88.4
김인태,20, LF,0.40,0.50,-0.09,77,110,108,84,15,17,5,0,1,25,13,0,0,21,2,0,13,3,2,1,0.202,0.370,0.298,0.668,-0.005,99.0
최용제,21, C,0.39,0.20,0.19,79,119,118,104,7,29,3,0,0,32,15,0,0,11,2,0,21,0,1,1,0.279,0.356,0.308,0.664,-0.031,78.5
김인태,23, RF,0.38,0.44,-0.06,47,115,114,98,8,25,5,0,1,33,14,2,1,15,1,0,26,1,1,0,0.255,0.360,0.337,0.697,-0.006,99.2
박계범,22, 3B,0.34,-0.12,0.46,77,168,162,145,21,32,8,0,2,46,14,5,3,12,3,1,40,1,6,2,0.221,0.290,0.317,0.607,-0.050,61.8
신성현,19, 1B,0.31,0.18,0.13,35,54,54,41,9,8,0,0,1,11,6,0,0,10,1,0,14,0,0,2,0.195,0.352,0.268,0.620,-0.004,100.4
장승현,19, C,0.29,-0.22,0.51,35,46,46,41,3,7,2,0,0,9,3,0,0,3,1,0,13,0,0,1,0.171,0.239,0.220,0.459,-0.090,27.6
박지훈,21, 2B,0.26,0.05,0.21,34,14,14,12,6,4,1,0,0,5,2,3,1,1,1,0,3,0,0,0,0.333,0.429,0.417,0.846,0.037,133.2
안재석,23, SS,0.25,-0.09,0.34,27,68,68,64,8,12,2,1,1,19,5,2,0,3,0,0,12,0,0,1,0.188,0.221,0.297,0.518,-0.072,42.9
양찬열,23, RF,0.25,0.17,0.08,44,99,99,88,15,21,2,2,0,27,6,3,2,9,1,0,23,1,0,1,0.239,0.313,0.307,0.620,-0.039,71.0
백동훈,20, RF,0.25,0.09,0.15,27,19,19,16,5,3,1,0,0,4,0,0,0,1,2,0,4,0,0,0,0.188,0.316,0.250,0.566,-0.019,88.4
김민혁,24, DH,0.23,0.20,0.02,5,8,8,5,1,1,0,0,1,4,2,0,0,3,0,0,3,0,0,0,0.200,0.500,0.800,1.300,0.219,264.2
전민재,22, SS,0.22,0.00,0.22,35,46,45,45,11,13,1,0,0,14,0,3,0,0,0,0,12,3,1,0,0.289,0.289,0.311,0.600,-0.060,52.8
권민석,21, 3B,0.22,0.07,0.15,33,15,15,14,8,3,2,0,0,5,1,0,0,1,0,0,7,0,0,0,0.214,0.267,0.357,0.624,-0.007,97.7
송승환,23, LF,0.22,0.11,0.11,30,76,74,70,10,16,3,1,0,21,4,0,1,4,0,0,16,2,2,0,0.229,0.270,0.300,0.570,-0.035,75.4
양찬열,20, LF,0.19,0.04,0.14,17,26,26,22,5,5,0,0,0,5,3,0,0,3,1,0,2,0,0,0,0.227,0.346,0.227,0.573,-0.062,55.2
홍성호,24, 1B,0.16,0.10,0.06,13,13,13,12,0,4,2,0,0,6,1,1,0,1,0,0,5,0,0,0,0.333,0.385,0.500,0.885,0.051,137.0
류지혁,20, SS,0.13,0.42,-0.29,20,31,30,24,10,10,2,0,1,15,4,0,1,1,3,0,5,1,1,2,0.417,0.467,0.625,1.092,0.111,184.8
