이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
알칸타라,20, P,8.98,31,31,0,1,1,0,20,2,0,0,198.2,56,58,57.30,795,174,38,3,12,30,9,0,182,4,1,3,2.54,2.63,2.60,2.84,3.03,1.03
미란다,21, P,7.49,28,28,0,1,1,1,14,5,0,0,173.2,45,49,48.30,709,135,21,1,11,63,1,0,225,3,1,7,2.33,2.54,2.50,2.73,2.42,1.14
린드블럼,19, P,6.32,30,30,0,0,0,0,20,3,0,0,194.2,54,57,55.95,773,165,22,3,13,29,6,0,189,9,0,7,2.50,2.64,2.59,2.83,2.73,1.00
알칸타라,23, P,5.79,31,31,0,0,0,0,13,9,0,0,192.0,57,67,67.00,777,171,33,0,16,35,5,1,162,11,0,3,2.67,3.14,3.14,3.34,3.38,1.07
최원준,21, P,4.88,29,29,0,0,0,0,12,4,0,0,158.1,58,65,62.25,673,160,31,4,15,37,10,1,113,5,0,0,3.30,3.69,3.54,3.75,4.01,1.24
로켓,21, P,4.49,21,21,0,1,1,0,9,9,0,0,124.0,41,44,42.80,540,132,20,2,5,42,12,1,112,3,1,1,2.98,3.19,3.11,3.35,3.34,1.40
곽빈,23, P,4.36,23,23,0,0,0,0,12,7,0,0,127.1,41,44,40.75,526,96,18,1,7,58,5,0,106,3,1,4,2.90,3.11,2.88,3.10,3.96,1.21
플렉센,20, P,3.94,21,21,0,0,0,0,8,4,0,0,116.2,39,43,43.00,472,97,14,0,6,30,2,2,132,3,0,5,3.01,3.32,3.32,3.73,2.58,1.09
브랜든,23, P,3.61,18,18,0,0,0,0,11,3,0,0,104.2,29,34,33.50,427,80,13,0,4,30,12,0,100,3,0,3,2.49,2.92,2.88,3.03,3.16,1.05
이영하,19, P,3.57,29,27,2,3,1,0,17,4,0,0,163.1,66,70,65.55,692,148,28,5,5,61,10,1,90,7,2,4,3.64,3.86,3.61,3.74,4.12,1.28
유희관,19, P,3.55,28,27,1,2,2,0,11,8,0,0,166.1,60,67,64.60,692,171,37,2,8,42,3,3,64,7,0,2,3.25,3.63,3.50,3.75,4.26,1.28
곽빈,22, P,3.53,27,27,0,0,0,0,8,9,0,0,147.2,62,69,64.85,645,143,30,0,13,60,11,1,138,7,1,9,3.78,4.21,3.95,4.13,3.99,1.37
최원준,20, P,3.46,42,18,24,3,0,0,10,2,0,0,123.0,52,52,54.55,532,134,23,3,15,35,7,0,94,4,1,2,3.80,3.80,3.99,4.10,4.59,1.37
최원준,22, P,3.43,30,30,0,0,0,0,8,13,0,0,165.0,66,80,76.70,713,183,31,2,21,37,7,0,113,10,1,1,3.60,4.36,4.18,4.35,4.41,1.33
