이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
최재훈,22, C,2.656,106,101,853.2,725,644,78,3,99.6,7.61,0.08,,1.15,,-0.41,1.74,2.67,12.14,17.36,21.93,9.84,27.20,1.695
최재훈,23, C,1.732,120,106,884.1,774,704,67,3,99.6,7.85,0.54,,0.87,,0.05,0.36,0.23,6.22,8.27,9.52,9.62,17.89,0.800
최재훈,19, C,1.728,132,126,1022.2,869,788,75,6,99.3,7.59,-0.27,,0.61,,-0.07,0.65,1.36,4.62,6.90,7.36,10.75,17.65,0.676
최재훈,21, C,1.655,108,100,842.0,765,702,62,1,99.9,8.17,0.04,,2.22,,0.32,1.83,3.51,-1.00,6.94,8.61,10.37,17.30,0.663
이도윤,23, SS,1.570,97,90,746.0,368,157,203,8,97.8,4.34,7.58,,0.99,1.31,,,,,9.88,13.42,6.34,16.22,0.956
최재훈,20, C,1.226,119,103,857.2,779,727,47,5,99.4,8.12,-0.04,,0.26,,0.26,0.59,2.45,1.47,4.97,5.68,8.93,13.90,0.438
장운호,21, RF,1.154,59,34,349.0,88,85,3,0,100.0,2.27,13.06,0.08,0.48,,,,,,13.63,19.05,-1.56,12.07,1.303
노수광,20, CF,1.077,34,27,226.1,79,76,2,1,98.7,3.10,11.42,0.55,0.25,,,,,,12.21,17.58,0.00,12.21,1.077
호잉,19, RF,1.007,88,65,606.2,150,141,7,2,98.7,2.20,12.75,0.45,0.04,,,,,,13.24,15.38,-2.95,10.29,1.296
노시환,21, 3B,0.877,96,94,811.0,294,98,176,20,93.2,3.04,8.82,,-0.39,0.43,0.31,,,,9.17,12.34,0.00,9.17,0.877
이도윤,24, SS,0.865,37,26,244.0,113,45,67,1,99.1,4.13,4.28,,0.46,2.14,,,,,6.88,17.69,2.24,9.12,0.652
정진호,20, LF,0.801,69,42,388.2,101,97,4,0,100.0,2.34,10.17,0.22,0.50,,,,,,10.89,13.88,-1.81,9.08,0.961
반즈,20, RF,0.778,33,27,239.0,58,56,2,0,100.0,2.18,8.71,0.98,0.33,,,,,,10.02,19.50,-1.20,8.82,0.884
노수광,22, LF,0.767,93,76,648.2,177,168,5,4,97.7,2.40,12.03,-0.29,-0.96,,,,,,10.79,13.28,-2.93,7.86,1.053
노시환,23, 3B,0.758,122,121,1065.2,361,114,228,19,94.7,2.89,8.64,,-0.47,-0.11,-0.23,,,,7.83,8.60,0.00,7.83,0.758
이진영,23, RF,0.744,80,53,509.1,140,127,9,4,97.1,2.40,10.64,0.51,-0.98,,,,,,10.17,12.11,-2.49,7.68,0.985
노시환,24, 3B,0.588,62,62,540.0,162,51,107,4,97.5,2.63,5.62,,1.02,0.00,-0.44,,,,6.20,14.40,0.00,6.20,0.588
강경학,20, 2B,0.566,54,42,329.1,202,93,108,1,99.5,5.49,4.58,,0.31,0.03,,,,,4.92,7.54,1.50,6.42,0.434
김민하,19, LF,0.533,50,25,257.2,69,64,3,2,97.1,2.34,7.18,0.04,-0.74,,,,,,6.48,12.96,-1.03,5.45,0.634
박정현,22, SS,0.521,35,27,246.1,124,38,81,5,96.0,4.35,2.24,,-0.08,0.92,,,,,3.09,5.50,2.24,5.33,0.302
오선진,20, 3B,0.492,31,15,163.2,49,10,37,2,95.9,2.58,5.25,,0.10,0.24,,,,,5.58,8.64,0.00,5.58,0.492
정진호,21, LF,0.484,41,38,302.2,82,77,3,2,97.6,2.38,7.34,-0.12,-0.72,,,,,,6.50,19.49,-1.44,5.06,0.621
문현빈,23, 2B,0.435,54,42,358.0,184,77,102,5,97.3,4.50,3.33,,-0.20,-0.46,,,,,2.67,2.80,1.83,4.50,0.258
