이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
채드벨,19, P,5.06,29,29,0,0,0,0,11,10,0,0,177.1,69,73,71.60,749,169,33,2,14,63,10,0,134,8,1,8,3.50,3.70,3.63,3.73,4.14,1.31
서폴드,19, P,4.98,31,31,0,0,0,0,12,11,0,0,192.1,75,84,82.45,810,191,28,4,8,54,8,1,135,8,0,8,3.51,3.93,3.86,3.94,3.53,1.27
페냐,23, P,4.20,32,32,0,0,0,0,11,11,0,0,177.1,71,82,79.25,751,149,28,5,14,59,18,1,147,13,4,16,3.60,4.16,4.02,3.98,4.06,1.17
킹험,21, P,4.20,25,25,0,0,0,0,10,8,0,0,144.0,51,58,57.50,591,117,22,0,11,41,5,1,131,10,2,4,3.19,3.63,3.59,3.62,3.39,1.10
김민우,21, P,3.90,29,28,1,0,0,0,14,10,0,0,155.1,69,71,66.20,662,131,23,1,15,76,7,1,125,5,1,5,4.00,4.11,3.84,3.93,4.56,1.33
김민우,20, P,3.11,26,25,1,0,0,0,5,10,0,0,132.2,64,72,69.60,593,121,16,1,15,72,7,3,124,10,2,10,4.34,4.88,4.72,4.68,4.83,1.45
김민우,22, P,3.09,29,29,0,1,1,0,6,11,0,0,163.0,79,82,78.00,711,143,40,1,16,84,8,8,129,9,0,13,4.36,4.53,4.31,4.33,4.61,1.39
장민재,22, P,3.03,32,25,7,1,0,0,7,8,0,0,126.2,50,54,54.00,531,124,18,2,15,39,4,1,75,6,0,3,3.55,3.84,3.84,3.82,4.74,1.29
문동주,23, P,2.96,23,23,0,0,0,0,8,8,0,0,118.2,49,52,49.95,503,113,20,2,6,42,4,0,95,2,1,5,3.72,3.94,3.79,3.82,3.65,1.31
정우람,19, P,2.84,57,0,57,49,0,0,4,3,26,0,58.1,10,11,14.60,237,57,8,0,4,16,1,4,48,1,1,2,1.54,1.70,2.25,2.36,3.42,1.25
카펜터,21, P,2.79,31,30,1,0,0,0,5,12,0,0,170.0,75,90,87.75,746,150,21,3,16,72,19,0,179,16,1,7,3.97,4.76,4.65,4.78,3.91,1.31
산체스,23, P,2.51,24,24,0,0,0,0,7,8,0,0,126.0,53,62,60.80,540,136,23,0,13,28,6,2,99,7,0,3,3.79,4.43,4.34,4.29,3.92,1.30
주현상,23, P,2.21,55,0,55,9,0,0,2,2,0,12,59.2,13,13,14.95,228,35,6,1,2,15,3,1,45,1,0,0,1.96,1.96,2.26,2.29,3.25,0.84
서폴드,20, P,2.19,28,28,0,1,1,1,10,13,0,0,165.0,90,107,102.70,734,203,30,3,19,42,13,0,97,11,0,10,4.91,5.84,5.60,5.75,4.93,1.48
장시환,20, P,2.05,26,26,0,0,0,0,4,14,0,0,132.2,74,81,80.30,603,139,27,1,15,74,8,0,115,6,0,10,5.02,5.49,5.45,5.56,5.09,1.61
강재민,21, P,1.79,58,0,58,18,0,0,2,1,5,13,63.1,15,16,22.60,269,51,13,0,2,26,5,3,55,4,1,1,2.13,2.27,3.21,3.37,3.39,1.22
강재민,20, P,1.78,50,0,50,4,0,0,1,2,1,14,49.0,14,16,14.80,203,41,5,0,3,18,0,1,57,3,1,2,2.57,2.94,2.72,2.86,2.89,1.20
산체스,24, P,1.74,10,10,0,0,0,0,2,2,0,0,49.1,20,22,19.80,222,52,6,0,2,19,10,1,55,3,1,1,3.65,4.01,3.61,3.54,3.69,1.44
주현상,24, P,1.66,27,0,27,19,0,0,4,1,6,2,30.0,5,5,5.00,111,21,1,2,3,3,0,0,28,0,0,0,1.50,1.50,1.50,1.50,3.34,0.80
황준서,24, P,1.48,13,9,4,0,0,0,2,5,0,0,47.1,21,21,20.50,209,41,7,0,5,30,5,0,46,1,0,2,3.99,3.99,3.90,3.76,5.29,1.50
류현진,24, P,1.44,12,12,0,0,0,0,4,4,0,0,66.0,30,36,34.95,285,72,6,1,1,18,1,0,58,4,0,1,4.09,4.91,4.77,4.74,3.04,1.36
이태양,23, P,1.44,50,12,38,6,0,0,3,3,0,2,100.1,36,44,48.50,422,100,25,6,7,21,3,2,72,9,0,1,3.23,3.95,4.35,4.33,3.60,1.21
윤대경,21, P,1.39,43,9,34,2,0,0,2,5,0,7,77.2,34,35,36.20,337,73,13,0,8,34,6,2,54,5,0,3,3.94,4.06,4.19,4.27,4.81,1.38
라미레즈,22, P,1.33,13,13,0,0,0,0,2,6,0,0,65.1,30,33,30.95,285,52,6,0,4,37,7,0,47,4,1,0,4.13,4.55,4.26,4.36,4.80,1.36
페냐,22, P,1.33,13,13,0,0,0,0,5,4,0,0,67.2,28,33,30.95,293,63,10,2,4,30,4,0,72,4,0,4,3.72,4.39,4.12,4.16,3.39,1.37
윤대경,20, P,1.31,55,0,55,10,0,0,5,0,0,7,51.0,9,16,21.75,225,48,7,0,3,25,3,3,42,5,0,1,1.59,2.82,3.84,3.92,4.22,1.43
장민재,19, P,1.21,26,22,4,3,1,0,6,8,0,0,119.1,72,76,73.05,526,150,25,1,14,27,6,0,103,5,0,3,5.43,5.73,5.51,5.50,3.91,1.48
윤대경,23, P,1.08,47,0,47,10,0,0,5,1,0,2,47.2,13,18,15.95,199,36,9,1,4,19,6,0,28,2,0,2,2.45,3.40,3.01,2.92,5.01,1.15
윤산흠,22, P,0.90,37,0,37,7,0,0,1,1,0,3,33.2,10,12,11.45,155,23,7,0,1,30,2,4,46,5,0,6,2.67,3.21,3.06,3.04,3.48,1.57
정우람,20, P,0.86,50,0,50,40,0,0,3,5,16,0,54.1,29,29,28.50,230,58,11,1,4,12,5,1,53,0,0,2,4.80,4.80,4.72,4.87,3.35,1.29
김이환,19, P,0.82,11,8,3,3,0,0,4,3,0,0,38.0,18,19,17.15,171,42,9,0,2,21,2,0,15,2,0,1,4.26,4.50,4.06,4.18,5.33,1.66
김진영,20, P,0.81,58,0,58,7,0,0,3,3,0,8,54.0,20,26,29.20,231,48,4,0,6,22,3,0,56,3,0,5,3.33,4.33,4.87,4.77,4.16,1.30
장시환,24, P,0.75,23,0,23,2,0,0,2,2,0,2,25.0,12,12,8.25,107,18,3,0,0,16,1,0,20,1,0,0,4.32,4.32,2.97,2.88,4.28,1.36
김진영,19, P,0.68,6,5,1,0,0,0,0,4,0,0,26.2,12,12,11.50,117,27,6,0,1,16,1,0,14,0,0,0,4.05,4.05,3.88,3.96,4.92,1.61
주현상,21, P,0.67,43,0,43,6,0,0,2,2,0,4,50.1,20,21,24.60,218,46,6,3,6,21,1,2,33,3,0,6,3.58,3.75,4.40,4.39,4.78,1.33
김기중,23, P,0.67,37,6,31,6,0,0,1,3,0,1,56.1,29,33,29.20,253,58,9,3,4,29,9,1,46,2,0,2,4.63,5.27,4.67,4.67,4.69,1.54
이민우,24, P,0.67,30,0,30,5,0,0,1,1,1,6,25.1,7,7,11.10,105,25,4,0,3,8,0,0,26,0,0,1,2.49,2.49,3.94,3.89,3.99,1.30
채드벨,20, P,0.66,16,16,0,0,0,0,2,8,0,0,77.0,51,54,50.55,346,85,11,0,10,35,5,1,61,4,0,3,5.96,6.31,5.91,6.12,5.17,1.56
카펜터,22, P,0.64,4,4,0,0,0,0,0,1,0,0,18.0,5,6,6.00,79,19,5,0,1,6,1,0,15,1,0,1,2.50,3.00,3.00,2.96,3.57,1.39
김범수,20, P,0.63,24,8,16,0,0,0,3,6,0,0,55.0,32,34,35.20,259,55,11,2,9,42,3,3,55,0,0,1,5.24,5.56,5.76,5.65,5.92,1.76
김기중,24, P,0.60,10,2,8,3,0,0,2,0,0,0,19.2,8,8,8.00,86,20,2,0,1,7,2,0,13,0,0,0,3.66,3.66,3.66,3.61,4.54,1.37
한승주,23, P,0.57,47,6,41,12,0,0,1,4,0,2,70.2,31,34,37.65,320,81,16,2,6,31,4,2,55,1,0,5,3.95,4.33,4.80,4.75,4.45,1.58
김민우,24, P,0.55,3,3,0,0,0,0,1,0,0,0,12.1,3,3,3.00,49,7,0,0,2,6,0,0,13,1,0,0,2.19,2.19,2.19,2.31,4.97,1.05
김범수,22, P,0.55,78,0,78,5,0,0,3,7,0,27,66.0,32,36,34.80,289,64,13,0,5,35,3,5,58,4,0,2,4.36,4.91,4.75,4.78,4.13,1.50
신정락,19, P,0.53,21,0,21,3,0,0,4,0,0,1,25.2,9,11,10.00,109,21,4,0,2,12,2,0,16,4,0,0,3.16,3.86,3.51,3.59,4.87,1.29
장시환,23, P,0.52,38,0,38,7,0,0,2,2,1,7,34.2,13,13,15.75,153,32,4,0,1,21,4,1,24,1,0,3,3.38,3.38,4.09,4.12,4.61,1.53
김범수,21, P,0.50,56,2,54,3,0,0,4,9,1,9,70.2,41,44,38.80,319,68,11,2,2,42,2,1,70,3,1,8,5.22,5.60,4.94,5.02,3.56,1.56
김범수,19, P,0.47,45,16,29,2,0,0,5,9,1,1,103.0,65,70,67.95,485,115,19,3,15,61,10,1,85,4,0,9,5.68,6.12,5.94,6.04,5.62,1.71
김규연,23, P,0.46,23,0,23,14,0,0,0,1,1,0,19.2,6,7,6.65,85,16,2,1,0,10,2,0,20,1,0,2,2.75,3.20,3.04,3.07,3.20,1.32
킹험,22, P,0.45,3,3,0,0,0,0,1,2,0,0,16.1,5,6,6.00,70,15,2,1,1,5,1,0,18,2,0,0,2.76,3.31,3.31,3.40,2.90,1.22
안영명,19, P,0.43,67,0,67,7,0,0,4,7,0,13,62.0,27,27,33.05,273,82,14,1,5,13,3,0,48,2,1,2,3.92,3.92,4.80,4.90,3.63,1.53
문동주,24, P,0.41,10,10,0,0,0,0,3,3,0,0,50.1,33,36,35.30,237,72,12,2,6,18,2,1,36,2,0,3,5.90,6.44,6.31,6.26,5.03,1.79
장민재,21, P,0.41,12,6,6,3,0,0,0,2,0,0,29.1,9,17,17.05,128,34,7,0,4,8,0,1,13,3,0,1,2.76,5.22,5.23,5.50,5.13,1.43
송윤준,20, P,0.39,26,0,26,6,0,0,0,0,0,1,23.0,11,11,11.05,106,23,7,0,1,13,1,0,16,2,0,3,4.30,4.30,4.32,4.35,4.66,1.57
김기중,21, P,0.38,15,12,3,0,0,0,2,4,0,0,53.2,28,32,32.00,260,63,10,1,4,36,4,2,36,3,2,0,4.70,5.37,5.37,5.54,5.29,1.84
김규연,24, P,0.36,28,1,27,6,0,0,1,0,0,1,29.1,16,17,17.20,126,28,4,0,2,11,4,1,20,1,0,1,4.91,5.22,5.28,5.01,4.86,1.33
문동욱,20, P,0.34,19,0,19,6,0,0,0,1,1,1,18.0,9,10,8.45,83,12,2,0,2,17,2,1,9,0,0,1,4.50,5.00,4.22,4.07,7.34,1.61
김이환,20, P,0.33,17,15,2,1,0,0,2,7,0,0,64.2,49,50,46.20,312,75,13,0,9,44,4,0,41,1,0,4,6.82,6.96,6.43,6.76,6.37,1.84
