이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
박찬호,23, SS,2.093,128,121,1042.2,523,206,303,14,97.3,4.39,10.28,,1.97,-0.75,,,,,11.50,12.74,10.12,21.62,1.113
박찬호,22, SS,1.330,130,128,1103.1,575,215,338,22,96.2,4.51,2.71,,0.86,-1.15,,,,,2.43,2.69,11.20,13.63,0.237
김호령,23, CF,1.152,68,22,288.1,98,97,0,1,99.0,3.03,12.23,-0.22,-0.11,,,,,,11.90,22.55,0.00,11.90,1.152
박동원,22, C,1.141,107,92,817.0,737,665,68,4,99.5,8.07,-0.39,,1.52,,-0.11,0.77,3.58,-2.85,2.52,2.95,9.17,11.68,0.246
김도영,23, 3B,1.120,81,81,695.1,219,68,140,11,95.0,2.69,10.19,,0.30,0.89,0.19,,,,11.56,19.82,0.00,11.56,1.120
한승택,21, C,1.108,82,68,589.0,547,489,53,5,99.1,8.28,1.02,,-0.59,,0.12,0.57,2.75,2.01,5.87,10.31,5.71,11.58,0.562
박찬호,21, SS,1.085,128,126,1100.1,549,204,321,24,95.6,4.29,1.81,,-0.72,0.61,,,,,1.71,1.88,9.64,11.35,0.163
박찬호,24, SS,1.070,55,54,469.0,226,87,133,6,97.3,4.22,7.38,,-0.63,-0.37,,,,,6.38,16.70,4.90,11.28,0.605
김선빈,19, SS,0.855,110,100,835.2,418,143,266,9,97.8,4.40,0.25,,0.67,-0.28,,,,,0.64,0.76,8.10,8.74,0.062
김도영,22, SS,0.841,28,16,160.2,78,29,47,2,97.4,4.26,5.68,,0.27,1.15,,,,,7.09,9.92,1.52,8.61,0.693
한승택,20, C,0.825,82,70,597.0,588,550,35,3,99.5,8.82,0.63,,0.43,,-0.15,-1.36,-2.15,5.76,3.16,5.49,6.19,9.35,0.279
한승택,19, C,0.822,103,83,702.0,601,553,43,5,99.2,7.64,-0.10,,-0.35,,-0.08,-0.50,-0.93,3.52,1.56,2.14,6.84,8.40,0.152
박찬호,19, SS,0.807,63,41,379.1,226,85,136,5,97.8,5.24,4.24,,-0.46,0.81,,,,,4.59,4.97,3.66,8.25,0.449
김민식,21, C,0.789,86,67,606.0,517,470,42,5,99.0,7.60,-0.60,,0.46,,-0.02,-0.08,-2.64,4.53,1.65,2.38,6.60,8.25,0.158
박찬호,20, SS,0.761,141,137,1165.0,597,198,384,15,97.5,4.50,-2.09,,0.14,-0.03,,,,,-1.97,-2.02,10.60,8.63,-0.174
김민식,20, C,0.731,62,54,471.0,417,365,50,2,99.5,7.93,0.43,,1.04,,0.01,1.34,2.29,-2.15,2.96,6.17,5.33,8.29,0.261
한승택,22, C,0.699,64,34,299.2,268,243,25,0,100.0,8.05,0.18,,0.91,,-0.21,-0.64,0.56,3.59,4.40,9.60,2.76,7.16,0.429
소크라테스,23, CF,0.697,113,106,827.1,253,249,2,2,99.2,2.73,7.14,-0.07,0.13,,,,,,7.20,7.30,0.00,7.20,0.697
김태군,23, C,0.686,63,52,438.0,374,334,36,4,98.9,7.60,0.09,,-0.81,,0.07,1.16,-2.38,4.34,2.48,3.13,4.61,7.09,0.240
김태군,24, C,0.606,43,34,279.2,264,235,26,3,98.9,8.40,0.97,,0.08,,-0.20,0.11,2.75,,3.70,11.85,2.69,6.39,0.351
김규성,21, SS,0.595,13,6,61.0,33,11,22,0,100.0,4.87,5.65,,0.10,0.09,,,,,5.84,15.57,0.38,6.22,0.558
김규성,23, SS,0.578,33,20,187.1,110,45,63,2,98.2,5.19,3.77,,-0.37,1.22,,,,,4.63,6.73,1.34,5.97,0.448
황윤호,20, 3B,0.573,22,16,149.0,53,6,43,4,92.5,2.96,5.94,,0.09,0.34,0.12,,,,6.49,37.40,0.00,6.49,0.573
한준수,23, C,0.526,45,22,208.2,166,151,15,0,100.0,7.16,-0.10,,0.56,,-0.19,0.71,1.69,0.67,3.32,9.97,2.11,5.44,0.322
이창진,21, CF,0.525,82,67,558.1,169,168,1,0,100.0,2.72,4.95,-0.03,0.57,,,,,,5.49,7.53,0.00,5.49,0.525
김도영,22, 3B,0.409,69,44,407.0,141,47,83,11,92.2,2.87,3.50,,0.35,0.42,-0.09,,,,4.19,5.86,0.00,4.19,0.409
김호령,24, CF,0.402,32,4,95.1,38,36,0,2,94.7,3.40,4.80,0.27,-0.83,,,,,,4.24,17.95,0.00,4.24,0.402
이우성,21, LF,0.396,60,19,247.2,60,58,1,1,98.3,2.14,5.39,-0.06,-0.27,,,,,,5.06,11.20,-0.92,4.14,0.484
이명기,19, CF,0.391,13,8,76.0,25,25,0,0,100.0,2.96,4.11,-0.21,0.10,,,,,,3.99,4.13,0.00,3.99,0.391
김호령,21, CF,0.370,61,44,394.0,126,124,2,0,100.0,2.88,2.39,1.07,0.40,,,,,,3.87,8.98,0.00,3.87,0.370
박정우,21, CF,0.346,22,14,130.0,44,43,1,0,100.0,3.05,3.80,-0.32,0.13,,,,,,3.62,16.28,0.00,3.62,0.346
백용환,19, C,0.342,20,11,104.1,96,84,10,2,97.9,8.11,-0.07,,-0.67,,0.01,0.62,1.16,1.45,2.51,12.89,0.98,3.49,0.245
김선빈,24, 2B,0.331,57,54,444.0,259,111,142,6,97.7,5.13,2.11,,-0.43,-0.43,,,,,1.25,3.11,2.24,3.49,0.119
류지혁,21, 3B,0.329,47,43,359.1,112,31,75,6,94.6,2.65,2.85,,0.27,0.51,-0.19,,,,3.44,5.38,0.00,3.44,0.329
최정용,21, 2B,0.295,22,6,77.1,46,19,27,0,100.0,5.35,1.73,,0.10,0.98,,,,,2.80,7.61,0.28,3.08,0.268
최원준,24, CF,0.231,47,41,308.0,84,82,1,1,98.8,2.43,1.43,0.98,0.03,,,,,,2.44,5.75,0.00,2.44,0.231
한준수,24, C,0.230,46,29,273.0,250,234,15,1,99.6,8.21,0.18,,1.06,,,-0.11,-1.69,,-0.56,-1.64,2.98,2.42,-0.053
박정우,24, CF,0.227,11,1,26.2,8,8,0,0,100.0,2.70,2.32,0.03,0.05,,,,,,2.39,26.50,0.00,2.39,0.227
김규성,20, 3B,0.217,12,7,59.0,26,11,14,1,96.2,3.81,2.32,,0.04,0.11,,,,,2.46,3.44,0.00,2.46,0.217
김도영,24, 3B,0.216,61,60,509.2,154,38,102,14,90.9,2.47,3.61,,-2.05,0.30,0.41,,,,2.27,5.36,0.00,2.27,0.216
이우성,24, LF,0.210,2,1,6.0,4,4,0,0,100.0,6.00,2.25,-0.01,0.01,,,,,,2.25,5.49,-0.03,2.22,0.213
신범수,23, C,0.198,35,26,238.0,201,191,10,0,100.0,7.60,0.58,,0.63,,0.41,-1.02,-0.37,-0.52,-0.29,-1.14,2.33,2.04,-0.028
이우성,23, RF,0.181,69,54,429.2,106,102,4,0,100.0,2.22,3.03,0.02,0.84,,,,,,3.90,4.46,-2.03,1.87,0.377
이창진,21, LF,0.169,22,5,65.0,25,24,0,1,96.0,3.32,2.37,0.06,-0.44,,,,,,2.00,2.74,-0.23,1.77,0.191
이창진,19, 2B,0.163,8,5,45.0,23,9,14,0,100.0,4.60,1.06,,0.06,0.35,,,,,1.47,1.59,0.20,1.67,0.143
해즐베이커,19, LF,0.156,2,1,10.0,4,3,1,0,100.0,3.60,0.79,0.85,0.01,,,,,,1.66,21.67,-0.06,1.60,0.162
나주환,20, 3B,0.148,60,57,486.0,145,35,102,8,94.5,2.54,0.38,,0.29,1.55,-0.55,,,,1.68,3.77,0.00,1.68,0.148
김선우,23, C,0.143,5,1,21.0,19,18,1,0,100.0,8.14,0.00,,0.06,,,0.19,1.03,0.04,1.31,37.64,0.17,1.47,0.127
소크라테스,22, CF,0.141,123,122,1009.2,308,302,1,5,98.4,2.70,2.45,0.01,-1.01,,,,,,1.45,1.64,0.00,1.45,0.141
한준수,19, C,0.140,7,5,39.0,34,29,5,0,100.0,7.85,0.00,,0.12,,0.02,0.05,0.39,0.40,0.98,20.14,0.46,1.44,0.096
홍재호,19, 2B,0.137,7,4,42.0,25,6,18,1,96.0,5.14,1.18,,0.06,0.00,,,,,1.24,17.82,0.16,1.40,0.121
김선빈,20, 2B,0.132,79,79,621.1,373,157,213,3,99.2,5.36,-3.98,,0.06,1.96,,,,,-1.96,-3.31,3.45,1.49,-0.173
나주환,21, 3B,0.129,9,3,43.2,10,3,7,0,100.0,2.06,1.17,,0.03,0.35,-0.19,,,,1.35,10.25,0.00,1.35,0.129
황윤호,19, 3B,0.125,23,11,110.0,38,15,21,2,94.7,2.95,1.18,,0.10,0.00,,,,,1.28,3.23,0.00,1.28,0.125
이진영,21, CF,0.125,12,8,76.0,20,20,0,0,100.0,2.37,1.31,-0.08,0.08,,,,,,1.31,11.07,0.00,1.31,0.125
최정용,23, 3B,0.124,9,3,38.0,22,8,14,0,100.0,5.21,1.17,,0.12,-0.44,0.42,,,,1.28,3.28,0.00,1.28,0.124
류지혁,22, 1B,0.118,36,14,158.0,162,155,5,2,98.8,9.11,2.10,,0.12,,0.30,,,,2.52,2.86,-1.32,1.20,0.246
김규성,22, SS,0.117,5,0,10.0,10,5,5,0,100.0,9.00,1.09,,0.02,0.00,,,,,1.10,2.27,0.10,1.20,0.108
이창진,23, RF,0.115,16,13,96.1,21,18,3,0,100.0,1.96,0.92,0.60,0.19,,,,,,1.71,2.36,-0.52,1.19,0.165
박정우,23, RF,0.114,13,1,28.1,6,6,0,0,100.0,1.91,0.57,0.61,0.06,,,,,,1.24,8.47,-0.06,1.18,0.120
최형우,22, LF,0.113,19,17,133.0,35,34,1,0,100.0,2.37,1.84,-0.18,0.20,,,,,,1.86,2.03,-0.70,1.16,0.181
강경학,21, 2B,0.105,8,2,25.0,17,8,9,0,100.0,6.12,0.99,,0.03,,,,,,1.02,5.89,0.07,1.09,0.098
류승현,19, 1B,0.102,34,25,197.2,209,191,18,0,100.0,9.52,2.66,,0.19,,0.03,,,,2.89,7.29,-1.84,1.05,0.283
최원준,20, RF,0.101,5,0,10.0,6,6,0,0,100.0,5.40,0.93,0.23,0.01,,,,,,1.17,1.37,-0.02,1.15,0.103
류지혁,20, 3B,0.099,5,4,32.0,9,0,8,1,88.9,2.25,1.10,,0.02,,,,,,1.12,6.47,0.00,1.12,0.099
