이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
김혜성,22, 2B,2.429,127,123,1080.0,674,292,371,11,98.4,5.53,19.75,,0.29,-0.68,,,,,19.36,21.61,5.52,24.88,1.890
이지영,22, C,2.193,137,102,994.2,906,818,77,11,98.8,8.10,-0.11,,-1.32,,0.21,0.01,2.44,10.71,11.92,12.53,10.54,22.46,1.164
이정후,23, CF,1.282,81,80,698.0,210,204,5,1,99.5,2.69,11.46,1.34,0.45,,,,,,13.24,22.18,0.00,13.24,1.282
이정후,20, RF,1.174,107,93,809.2,191,181,8,2,99.0,2.10,16.85,0.52,0.08,,,,,,17.45,17.95,-4.14,13.31,1.539
박동원,19, C,1.079,89,64,608.0,528,487,40,1,99.8,7.80,0.24,,1.34,,0.01,1.84,0.66,0.35,4.44,5.71,6.58,11.02,0.435
김혜성,24, 2B,1.076,49,48,421.2,262,104,151,7,97.3,5.44,9.13,,-0.03,0.03,,,,,9.13,24.80,2.21,11.34,0.866
변상권,21, LF,1.007,58,41,360.2,98,96,2,0,100.0,2.45,11.04,0.73,0.33,,,,,,12.09,24.19,-1.56,10.53,1.157
김혜성,21, SS,1.006,114,104,905.2,510,159,322,29,94.3,4.78,1.34,,-0.03,-0.45,,,,,0.86,0.86,9.66,10.52,0.082
전병우,20, 3B,0.992,94,78,681.0,201,53,140,8,96.0,2.55,12.18,,0.41,-1.00,-0.35,,,,11.25,13.61,0.00,11.25,0.992
송성문,22, 3B,0.953,138,137,1216.0,354,89,250,15,95.8,2.51,11.50,,-0.40,-0.90,-0.44,,,,9.76,9.90,0.00,9.76,0.953
이지영,23, C,0.944,78,69,539.0,503,467,32,4,99.2,8.33,-0.15,,-0.55,,0.09,0.92,1.60,2.27,4.18,7.43,5.57,9.75,0.405
송성문,21, 2B,0.915,35,28,251.2,165,75,88,2,98.8,5.83,8.56,,0.32,-0.57,,,,,8.31,18.13,1.26,9.57,0.795
이지영,21, C,0.872,94,50,508.2,422,389,30,3,99.3,7.41,0.11,,0.15,,-0.01,0.27,0.58,2.57,3.67,4.89,5.45,9.12,0.351
김혜성,23, 2B,0.869,126,124,1067.0,635,246,374,15,97.6,5.23,1.17,,1.85,0.32,,,,,3.33,3.50,5.64,8.97,0.323
이지영,19, C,0.701,83,74,605.0,509,468,38,3,99.4,7.53,-0.29,,0.34,,0.16,-1.38,-1.37,3.17,0.63,0.86,6.53,7.16,0.062
러셀,20, 2B,0.663,38,35,303.0,184,65,115,4,97.8,5.35,6.40,,-0.23,-0.16,,,,,6.00,13.30,1.51,7.51,0.530
박수종,23, RF,0.648,14,11,102.2,36,35,1,0,100.0,3.16,6.66,0.33,0.20,,,,,,7.18,44.98,-0.49,6.69,0.696
김혜성,19, 2B,0.615,63,50,437.1,265,107,153,5,98.1,5.35,5.68,,0.10,-1.37,,,,,4.42,5.21,1.87,6.29,0.432
서건창,21, 2B,0.576,69,69,574.2,331,138,186,7,97.9,5.07,1.65,,0.23,0.93,,,,,2.81,2.81,3.21,6.02,0.269
김혜성,19, SS,0.565,66,43,426.0,217,63,145,9,95.9,4.39,0.39,,0.59,1.08,,,,,2.07,2.44,3.70,5.77,0.202
김혜성,20, SS,0.557,50,35,322.0,175,58,114,3,98.3,4.81,0.90,,-0.05,2.22,,,,,3.07,3.12,3.24,6.31,0.271
김혜성,20, 2B,0.556,67,50,441.2,276,112,160,4,98.6,5.54,4.61,,-0.11,-0.28,,,,,4.23,4.29,2.08,6.31,0.373
예진원,21, LF,0.549,24,15,126.0,39,38,1,0,100.0,2.79,6.45,-0.30,0.11,,,,,,6.27,17.36,-0.53,5.74,0.600
이지영,20, C,0.544,70,50,440.2,381,362,15,4,99.0,7.70,-0.18,,-0.61,,0.25,-0.76,-0.44,3.13,1.39,1.98,4.78,6.17,0.123
김하성,20, 3B,0.532,55,41,361.1,120,21,93,6,95.0,2.84,4.96,,-0.30,1.42,-0.04,,,,6.03,6.30,0.00,6.03,0.532
박병호,19, 1B,0.508,108,108,906.2,1008,923,79,6,99.4,9.95,15.74,,-1.10,,0.01,,,,14.66,17.30,-9.46,5.20,1.434
송성문,23, 3B,0.504,88,74,685.2,209,73,128,8,96.2,2.64,3.79,,1.26,-0.19,0.35,,,,5.21,7.21,0.00,5.21,0.504
서건창,20, 2B,0.489,54,52,440.2,272,124,145,3,98.9,5.49,2.57,,0.41,0.10,,,,,3.08,3.29,2.46,5.54,0.272
김웅빈,21, 3B,0.465,56,42,364.2,113,32,77,4,96.5,2.69,4.72,,0.27,-0.06,-0.08,,,,4.86,7.22,0.00,4.86,0.465
김태진,22, 2B,0.444,23,18,161.1,107,41,64,2,98.1,5.86,3.76,,-0.30,0.38,,,,,3.85,7.19,0.70,4.55,0.376
