이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
이정후,22, CF,8.89,8.51,0.38,142,627,618,553,85,193,36,10,23,318,113,5,0,66,5,12,32,10,0,3,0.349,0.421,0.575,0.996,0.086,175.3
김하성,20, SS,8.10,7.29,0.82,138,622,617,533,111,163,24,1,30,279,109,23,2,75,8,3,68,12,3,3,0.306,0.397,0.523,0.920,0.071,156.1
박병호,19, 1B,7.80,7.21,0.59,122,532,528,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,0.280,0.398,0.560,0.958,0.088,178.1
이정후,20, LF,7.24,6.12,1.13,140,617,611,544,85,181,49,5,15,285,101,12,2,59,4,6,47,16,2,8,0.333,0.397,0.524,0.921,0.055,143.9
김혜성,22, 2B,7.11,4.42,2.69,129,566,565,516,81,164,18,7,4,208,48,34,7,47,0,3,83,9,0,3,0.318,0.373,0.403,0.776,0.025,124.8
김하성,19, SS,7.08,6.90,0.18,139,625,622,540,112,166,38,2,19,265,104,33,4,70,7,4,80,12,1,7,0.307,0.389,0.491,0.880,0.055,150.0
김혜성,23, 2B,6.98,6.17,0.80,137,621,619,556,104,186,29,6,7,248,57,25,3,57,3,3,77,6,0,5,0.335,0.396,0.446,0.842,0.046,142.6
이정후,21, RF,6.75,6.75,0.00,123,544,543,464,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9,0.360,0.438,0.522,0.960,0.076,164.9
이정후,23, CF,5.18,3.62,1.56,86,387,384,330,50,105,23,2,6,150,45,6,3,49,3,7,23,1,0,5,0.318,0.406,0.455,0.861,0.043,140.5
샌즈,19, RF,4.86,7.55,-2.69,139,613,612,525,100,160,39,1,28,285,113,1,2,77,6,1,101,17,0,5,0.305,0.396,0.543,0.939,0.074,166.7
이정후,19, LF,4.53,5.30,-0.77,140,630,627,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,0.336,0.386,0.456,0.842,0.038,135.6
