이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
심우준,19, SS,2.325,124,113,976.1,512,213,290,9,98.2,4.64,16.09,,-0.62,0.20,,,,,15.68,16.36,8.08,23.76,1.534
장성우,20, C,2.289,126,114,952.0,702,665,34,3,99.6,6.61,0.10,,2.12,,0.09,1.84,6.23,4.86,15.24,16.88,10.70,25.94,1.344
박경수,19, 2B,1.973,126,121,983.2,580,222,349,9,98.4,5.22,14.44,,0.84,0.15,,,,,15.42,16.21,4.74,20.16,1.509
황재균,19, 3B,1.889,117,112,964.0,327,103,214,10,96.9,2.96,20.58,,-1.12,0.15,-0.32,,,,19.30,22.42,0.00,19.30,1.889
심우준,21, SS,1.557,138,129,1065.0,556,210,327,19,96.6,4.54,6.06,,-0.28,1.33,,,,,7.12,7.38,9.16,16.28,0.681
장성우,22, C,1.547,101,87,763.2,707,661,39,7,99.0,8.25,-0.33,,-0.09,,-0.34,0.04,1.74,6.19,7.21,8.87,8.64,15.85,0.704
장성우,21, C,1.470,110,97,813.1,748,698,43,7,99.1,8.20,-0.19,,-0.37,,-0.37,-0.84,-0.74,8.21,5.70,6.46,9.67,15.37,0.545
장성우,19, C,1.350,125,107,911.2,685,626,54,5,99.3,6.71,-0.02,,0.77,,0.01,0.52,0.89,1.92,4.09,4.64,9.70,13.79,0.401
장성우,23, C,1.260,116,104,886.0,768,719,43,6,99.2,7.74,0.62,,-0.12,,0.08,-0.06,1.28,1.05,2.84,3.13,10.18,13.02,0.275
배정대,20, CF,1.009,143,141,1221.1,372,354,13,5,98.7,2.70,11.39,0.78,-0.73,,,,,,11.44,11.44,0.00,11.44,1.009
오윤석,22, 2B,0.968,85,75,594.2,362,133,221,8,97.8,5.36,7.19,,-0.27,0.31,,,,,7.22,9.28,2.69,9.91,0.705
심우준,20, SS,0.938,144,133,1157.0,679,231,427,21,96.9,5.12,1.84,,-1.93,0.07,,,,,-0.02,-0.02,10.66,10.64,-0.002
알포드,23, LF,0.937,112,109,858.0,217,209,5,3,98.6,2.24,14.26,-0.16,0.10,,,,,,14.20,15.37,-4.52,9.68,1.374
황재균,20, 3B,0.930,132,128,1113.2,332,106,213,13,96.1,2.58,9.20,,0.67,0.70,-0.03,,,,10.55,11.33,0.00,10.55,0.930
장성우,24, C,0.817,51,47,370.1,356,326,29,1,99.7,8.63,-0.65,,1.41,,0.11,0.89,2.36,,4.12,10.24,4.49,8.61,0.391
심우준,22, SS,0.761,129,124,1048.1,525,211,298,16,97.0,4.37,-0.82,,-0.68,0.40,,,,,-1.11,-1.21,8.90,7.79,-0.108
오윤석,21, 2B,0.736,42,23,207.0,120,35,85,0,100.0,5.22,5.71,,0.26,0.92,,,,,6.89,10.23,0.81,7.70,0.659
박병호,23, 1B,0.710,92,89,730.1,735,669,61,5,99.3,9.00,13.54,,1.66,,-0.20,,,,15.00,16.36,-7.66,7.34,1.452
조용호,22, LF,0.633,70,29,311.1,66,65,1,0,100.0,1.91,7.47,0.01,0.47,,,,,,7.95,8.74,-1.46,6.49,0.776
박병호,22, 1B,0.607,107,105,873.0,942,861,74,7,99.3,9.64,15.02,,0.17,,-0.22,,,,14.98,17.39,-8.76,6.22,1.462
박경수,20, 2B,0.537,105,94,746.1,474,180,286,8,98.3,5.62,2.32,,-0.34,0.48,,,,,2.46,2.97,3.63,6.09,0.217
김민혁,23, RF,0.522,46,42,288.0,66,64,0,2,97.0,2.00,7.50,0.01,-0.42,,,,,,7.08,9.03,-1.69,5.39,0.686
배정대,19, CF,0.487,35,10,149.1,51,49,1,1,98.0,3.01,4.96,0.32,-0.30,,,,,,4.98,10.87,0.00,4.98,0.487
황재균,23, 3B,0.482,107,103,895.0,255,82,162,11,95.7,2.45,5.14,,0.46,-0.52,-0.09,,,,4.98,6.58,0.00,4.98,0.482
송민섭,23, RF,0.471,42,1,83.0,27,27,0,0,100.0,2.93,4.26,0.56,0.16,,,,,,4.98,10.40,-0.12,4.86,0.482
박승욱,19, 1B,0.464,51,25,251.2,288,265,21,2,99.3,10.23,6.51,,0.24,,0.03,,,,6.78,9.67,-2.04,4.74,0.664
배정대,21, CF,0.463,144,139,1189.1,318,308,7,3,99.1,2.38,3.57,1.55,-0.28,,,,,,4.84,4.84,0.00,4.84,0.463
김상수,23, SS,0.430,129,123,1020.1,441,176,259,6,98.6,3.84,-6.14,,1.90,-1.50,,,,,-5.74,-6.41,10.18,4.44,-0.556
홍현빈,22, RF,0.423,37,17,168.2,45,41,3,1,97.8,2.35,5.96,-0.83,-0.19,,,,,,4.95,11.68,-0.61,4.34,0.483
권동진,22, 2B,0.391,25,5,68.2,52,19,33,0,100.0,6.82,3.23,,0.08,0.49,,,,,3.80,11.39,0.21,4.01,0.371
김민혁,19, LF,0.382,96,85,710.2,165,160,1,4,97.6,2.04,8.88,-0.84,-0.30,,,,,,7.73,8.77,-3.83,3.90,0.757
송민섭,19, LF,0.374,29,3,63.1,20,19,1,0,100.0,2.84,3.79,0.13,0.06,,,,,,3.98,5.45,-0.16,3.82,0.389
신본기,24, SS,0.372,36,18,176.1,91,30,57,4,95.6,4.44,0.44,,0.19,1.75,,,,,2.38,7.78,1.54,3.92,0.226
송민섭,21, RF,0.369,48,3,109.1,34,32,2,0,100.0,2.80,2.75,1.27,0.15,,,,,,4.17,4.92,-0.31,3.86,0.399
황재균,21, 3B,0.366,114,112,938.1,261,67,178,16,93.9,2.35,1.12,,0.70,1.49,0.52,,,,3.83,4.71,0.00,3.83,0.366
신본기,21, 2B,0.352,52,30,233.2,119,52,64,3,97.5,4.47,2.47,,0.29,-0.06,,,,,2.71,4.06,0.97,3.68,0.259
황재균,19, SS,0.351,9,6,54.0,31,12,18,1,96.8,5.00,2.54,,0.08,0.40,,,,,3.01,3.49,0.58,3.59,0.294
호잉,21, RF,0.348,68,65,554.0,128,121,4,3,97.7,2.03,7.31,-0.12,-0.73,,,,,,6.46,13.68,-2.82,3.64,0.618
송민섭,21, LF,0.338,58,0,102.1,23,22,1,0,100.0,2.02,3.11,0.52,0.09,,,,,,3.73,4.40,-0.19,3.54,0.356
