이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
고영표,23, P,5.91,28,27,1,1,0,0,12,7,0,0,174.2,54,57,57.35,706,181,27,5,7,19,9,1,114,6,0,6,2.78,2.94,2.96,2.91,3.19,1.15
고영표,21, P,5.65,26,25,1,1,1,1,11,6,0,1,166.2,54,59,58.65,664,147,20,2,9,27,14,1,130,5,0,1,2.92,3.19,3.17,3.15,3.22,1.04
고영표,22, P,5.31,28,28,0,1,1,1,13,8,0,0,182.1,66,69,67.45,758,191,31,3,7,23,16,1,156,7,0,1,3.26,3.41,3.33,3.21,2.75,1.17
데스파이네,21, P,5.24,33,33,0,0,0,0,13,10,0,0,188.2,71,81,79.80,819,175,30,3,10,78,7,0,165,11,0,15,3.39,3.86,3.81,3.68,3.61,1.34
소형준,22, P,4.70,27,27,0,0,0,0,13,6,0,0,171.1,58,68,66.60,703,158,16,6,8,39,5,1,117,11,0,6,3.05,3.57,3.50,3.39,3.41,1.15
쿠에바스,23, P,4.57,18,18,0,0,0,0,12,0,0,0,114.1,33,33,31.65,460,95,10,2,4,24,2,1,100,2,0,5,2.60,2.60,2.49,2.39,2.78,1.04
엄상백,22, P,4.13,33,22,11,0,0,0,11,2,0,0,140.1,46,52,51.15,581,125,24,2,14,46,4,0,139,4,0,1,2.95,3.33,3.28,3.12,3.60,1.22
데스파이네,20, P,4.12,35,34,1,0,0,0,15,8,0,0,207.2,100,105,104.45,906,233,36,1,18,68,8,1,152,7,0,18,4.33,4.55,4.53,4.40,4.33,1.45
배제성,21, P,3.55,26,26,0,0,0,0,9,10,0,0,141.2,58,67,64.10,621,126,27,1,6,82,1,1,136,12,0,9,3.68,4.26,4.07,4.02,3.69,1.47
쿠에바스,20, P,3.49,27,27,0,0,0,0,10,8,0,0,158.0,72,80,77.45,668,152,26,1,16,46,9,0,110,8,0,4,4.10,4.56,4.41,4.38,4.54,1.25
배제성,20, P,3.43,26,26,0,0,0,0,10,7,0,0,141.1,62,67,65.45,619,130,30,1,12,76,4,0,83,8,1,11,3.95,4.27,4.17,4.14,5.29,1.46
쿠에바스,19, P,3.30,30,30,0,0,0,0,13,10,0,0,184.0,74,80,78.65,760,153,21,6,18,63,12,0,135,9,0,4,3.62,3.91,3.85,3.89,4.40,1.17
