이름,연도,포지션,WAAwithPOS,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,Total RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS
오지환,19, SS,3.732,134,131,1101.0,629,215,402,12,98.1,5.04,26.09,,0.05,1.07,,,,,27.21,29.24,10.92,38.13,2.663
오지환,20, SS,3.116,141,136,1142.0,604,184,405,15,97.5,4.64,20.86,,0.63,2.10,,,,,23.58,24.08,11.74,35.32,2.080
오지환,21, SS,2.706,132,129,1060.2,547,175,359,13,97.6,4.53,18.45,,-0.28,-0.34,,,,,17.83,19.16,10.46,28.29,1.705
박해민,22, CF,2.591,144,142,1205.0,360,355,3,2,99.4,2.67,25.19,0.64,0.71,,,,,,26.54,26.54,0.00,26.54,2.591
오지환,22, SS,2.123,142,137,1167.0,585,210,359,16,97.3,4.39,9.97,,0.96,-0.53,,,,,10.40,10.55,11.34,21.74,1.016
박해민,23, CF,2.029,142,136,1187.2,343,338,2,3,99.1,2.58,20.03,0.81,0.12,,,,,,20.96,20.96,0.00,20.96,2.029
오지환,23, SS,1.470,125,115,1010.2,465,176,275,14,97.0,4.02,5.17,,-0.61,0.68,,,,,5.24,5.99,9.94,15.18,0.508
유강남,19, C,1.313,128,115,968.1,824,757,60,7,99.2,7.59,1.73,,-0.54,,0.13,1.02,-3.21,3.47,2.62,2.85,10.80,13.42,0.256
김민성,21, 3B,1.198,117,107,854.0,237,54,176,7,97.0,2.42,11.53,,0.64,0.22,0.14,,,,12.53,14.91,0.00,12.53,1.198
정주현,19, 2B,1.023,128,124,972.0,531,211,307,13,97.6,4.80,5.82,,-0.17,0.59,,,,,6.24,6.97,4.21,10.45,0.611
유강남,22, C,1.016,134,116,1008.1,899,821,71,7,99.2,7.96,0.20,,0.17,,0.25,0.26,2.65,-3.95,-0.42,-0.44,10.82,10.40,-0.041
이형종,19, RF,0.955,37,30,268.0,90,85,5,0,100.0,3.02,10.65,-0.05,0.46,,,,,,11.06,13.27,-1.30,9.76,1.082
박동원,24, C,0.903,51,44,390.1,385,343,39,3,99.2,8.81,0.50,,0.00,,0.06,0.50,4.03,,5.10,13.35,4.42,9.52,0.484
문보경,22, 3B,0.824,97,94,749.0,179,40,135,4,97.8,2.10,7.25,,0.16,1.10,-0.08,,,,8.44,9.65,0.00,8.44,0.824
홍창기,20, CF,0.799,82,67,574.2,176,170,4,2,98.9,2.73,9.61,-0.14,-0.41,,,,,,9.06,9.67,0.00,9.06,0.799
이성우,19, C,0.701,53,19,210.0,162,143,16,3,98.1,6.81,0.88,,-0.85,,0.19,0.10,3.09,2.04,5.45,14.28,1.70,7.16,0.534
유강남,21, C,0.678,129,117,961.0,897,829,65,3,99.7,8.37,-1.31,,2.61,,-0.42,0.59,-2.26,-2.47,-3.26,-3.61,10.34,7.09,-0.311
홍창기,23, LF,0.661,27,27,228.0,64,64,0,0,100.0,2.53,8.06,-0.38,0.42,,,,,,8.10,8.27,-1.27,6.83,0.784
김용의,21, 1B,0.613,79,3,155.2,169,153,15,1,99.4,9.71,6.93,,0.13,,0.07,,,,7.12,10.06,-0.72,6.40,0.681
구본혁,24, 3B,0.597,29,7,103.0,35,10,25,0,100.0,3.06,5.49,,0.38,0.19,0.23,,,,6.30,15.91,0.00,6.30,0.597
김민성,23, 3B,0.588,27,14,135.0,42,14,27,1,97.6,2.73,5.86,,-0.05,0.04,0.23,,,,6.08,7.81,0.00,6.08,0.588
김민성,23, 2B,0.572,45,37,280.0,147,68,78,1,99.3,4.69,2.50,,1.00,1.14,,,,,4.64,5.97,1.27,5.91,0.450
서건창,21, 2B,0.508,62,58,463.2,237,115,121,1,99.6,4.58,2.56,,0.09,0.23,,,,,2.87,2.87,2.44,5.31,0.275
문성주,23, LF,0.478,85,64,602.2,164,162,1,1,99.4,2.43,8.03,-0.84,0.62,,,,,,7.80,8.26,-2.87,4.93,0.756
문성주,22, RF,0.478,32,26,242.1,55,53,2,0,100.0,2.04,4.56,1.15,0.43,,,,,,6.14,8.34,-1.25,4.89,0.600
홍창기,23, RF,0.407,104,97,841.2,207,198,7,2,99.0,2.19,6.88,1.18,0.67,,,,,,8.73,8.91,-4.53,4.20,0.845
오지환,24, SS,0.373,54,46,417.0,188,68,114,6,96.8,3.93,-0.17,,0.64,-0.45,,,,,0.02,0.04,3.92,3.94,0.002
조셉,19, 1B,0.367,45,44,357.0,388,351,33,4,99.0,9.68,6.80,,0.34,,0.14,,,,7.29,19.08,-3.54,3.75,0.713
신민재,23, 2B,0.341,89,76,689.1,402,162,231,9,97.8,5.13,0.93,,-0.99,0.41,,,,,0.35,0.41,3.17,3.52,0.034
김용의,19, 1B,0.317,96,40,481.0,498,452,41,5,99.0,9.22,6.96,,-0.03,,0.03,,,,6.96,8.79,-3.72,3.24,0.681
구본혁,24, 2B,0.279,18,10,96.0,54,21,32,1,98.1,4.97,0.98,,0.33,1.20,,,,,2.51,6.35,0.43,2.94,0.238
양석환,20, 1B,0.277,19,16,128.1,134,121,13,0,100.0,9.40,4.06,,0.11,,0.06,,,,4.23,15.25,-1.10,3.13,0.374
윤진호,19, 2B,0.271,51,0,101.0,66,25,41,0,100.0,5.88,2.62,,0.14,-0.17,,,,,2.59,3.51,0.18,2.77,0.253
문성주,22, LF,0.248,28,23,213.0,73,71,2,0,100.0,3.08,4.08,-0.88,0.32,,,,,,3.53,4.79,-0.99,2.54,0.344
홍창기,21, RF,0.238,31,23,206.2,47,46,1,0,100.0,2.05,2.50,0.80,0.29,,,,,,3.58,3.58,-1.09,2.49,0.343
