이름,연도,포지션,WAR,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,WRC+
손아섭,20, RF,5.49,5.78,-0.29,141,611,608,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,0.352,0.415,0.493,0.908,0.051,141.6
마차도,20, SS,4.53,3.09,1.43,144,560,554,486,79,136,31,1,12,205,67,15,1,54,8,2,60,20,4,8,0.280,0.356,0.422,0.778,0.006,107.0
마차도,21, SS,4.24,2.26,1.99,134,539,535,466,83,130,21,1,5,168,58,8,5,58,4,1,65,9,4,7,0.279,0.359,0.361,0.720,-0.006,98.5
유강남,23, C,4.09,1.90,2.20,121,403,401,352,45,92,13,0,10,135,55,1,1,37,8,1,64,13,2,4,0.261,0.342,0.384,0.726,0.002,106.0
전준우,21, LF,3.84,5.27,-1.43,144,619,618,552,88,192,46,0,7,259,92,6,3,53,5,0,71,10,1,8,0.348,0.405,0.469,0.874,0.038,134.4
전준우,23, DH,3.79,5.25,-1.46,138,559,556,493,80,154,21,3,17,232,77,9,2,52,7,4,65,12,0,7,0.312,0.381,0.471,0.852,0.046,143.1
이대호,22, DH,3.68,5.72,-2.04,142,591,585,540,53,179,23,0,23,271,101,0,0,43,2,7,56,26,0,6,0.331,0.379,0.502,0.881,0.052,146.9
손아섭,19, RF,3.45,3.23,0.22,134,568,566,512,78,151,22,1,10,205,63,13,8,52,1,1,92,6,1,2,0.295,0.360,0.400,0.760,0.009,111.6
전준우,20, LF,3.27,3.61,-0.34,143,628,625,562,95,157,34,1,26,271,96,5,5,52,8,0,79,21,3,3,0.279,0.347,0.482,0.829,0.012,112.2
정훈,21, 1B,3.11,3.75,-0.64,135,561,553,486,70,142,27,1,14,213,79,8,1,68,3,8,89,6,1,3,0.292,0.380,0.438,0.818,0.021,120.4
안치홍,21, 2B,2.94,3.67,-0.73,119,490,484,421,58,129,30,2,10,193,82,3,6,52,3,2,58,10,5,9,0.306,0.379,0.458,0.837,0.031,128.3
렉스,22, RF,2.94,2.88,0.05,56,251,249,218,32,72,10,1,8,108,34,3,0,26,5,2,44,4,0,2,0.330,0.410,0.495,0.905,0.071,163.2
안치홍,22, 2B,2.87,4.33,-1.46,132,562,550,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,0.284,0.354,0.436,0.790,0.031,128.8
전준우,19, LF,2.87,4.43,-1.56,141,606,604,545,85,164,30,1,22,262,83,8,2,46,7,2,71,19,1,7,0.301,0.359,0.481,0.840,0.022,122.5
한동희,21, 3B,2.87,3.10,-0.23,129,496,494,424,54,113,24,0,17,188,69,0,1,61,6,1,95,21,1,4,0.267,0.364,0.443,0.807,0.019,118.5
