이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
수아레즈,22, P,6.65,30,29,1,0,0,0,6,8,0,0,173.2,48,61,59.80,714,151,19,0,7,50,4,0,159,16,0,6,2.49,3.16,3.10,3.09,2.94,1.16
뷰캐넌,23, P,6.31,30,30,0,1,1,0,12,8,0,0,188.0,53,71,69.95,784,174,25,2,4,43,6,1,139,13,1,7,2.54,3.40,3.35,3.25,3.05,1.15
백정현,21, P,6.15,27,27,0,0,0,0,14,5,0,0,157.2,46,54,53.30,648,142,25,1,15,54,2,2,109,6,0,5,2.63,3.08,3.04,2.98,4.23,1.24
원태인,21, P,6.03,26,26,0,0,0,0,14,7,0,0,158.2,54,59,57.80,655,147,32,1,11,51,5,1,129,4,1,5,3.06,3.35,3.28,3.11,3.65,1.25
뷰캐넌,22, P,5.75,26,26,0,1,1,1,11,8,0,0,160.0,54,61,60.30,691,176,29,2,10,39,8,0,117,6,0,2,3.04,3.43,3.39,3.22,3.61,1.34
뷰캐넌,20, P,5.71,27,27,0,1,1,0,15,7,0,0,174.2,67,71,69.45,728,172,19,2,16,50,7,0,121,12,0,2,3.45,3.66,3.58,3.30,4.36,1.27
뷰캐넌,21, P,5.69,30,30,0,1,1,1,16,5,0,0,177.0,61,71,69.80,758,173,25,4,13,59,2,2,162,11,0,7,3.10,3.61,3.55,3.55,3.39,1.31
원태인,22, P,4.67,27,27,0,0,0,0,10,8,0,0,165.1,72,75,73.30,700,175,25,1,16,38,4,3,130,8,0,3,3.92,4.08,3.99,3.86,3.72,1.29
원태인,23, P,4.48,26,26,0,0,0,0,7,7,0,0,150.0,54,61,59.95,634,157,26,1,15,34,6,2,102,4,2,6,3.24,3.66,3.60,3.58,4.17,1.27
최채흥,20, P,4.22,26,26,0,1,1,1,11,6,0,0,146.0,58,67,64.75,617,131,27,1,12,51,7,0,123,9,3,3,3.58,4.13,3.99,3.75,4.10,1.25
백정현,23, P,3.09,18,18,0,0,0,0,7,5,0,0,100.2,41,44,42.10,419,100,19,2,6,30,0,2,61,1,1,5,3.67,3.93,3.76,3.63,3.91,1.29
백정현,19, P,2.99,28,27,1,1,1,1,8,10,0,0,157.0,74,85,81.55,677,158,29,4,17,56,6,0,82,12,0,4,4.24,4.87,4.67,4.42,5.02,1.36
라이블리,20, P,2.98,21,21,0,0,0,0,6,7,0,0,112.0,53,54,54.00,478,98,16,1,11,39,12,0,95,7,0,2,4.26,4.34,4.34,4.19,4.45,1.22
오승환,21, P,2.54,64,0,64,61,0,0,0,2,44,0,62.0,14,17,20.95,252,56,15,3,3,16,2,3,57,2,0,2,2.03,2.47,3.04,2.90,2.79,1.16
수아레즈,23, P,2.52,19,19,0,0,0,0,4,7,0,0,108.0,47,54,51.05,479,129,19,1,3,32,2,0,88,10,0,6,3.92,4.50,4.25,4.09,3.12,1.49
최채흥,21, P,2.51,26,20,6,2,1,0,5,9,0,2,122.1,62,66,64.10,538,143,21,2,16,37,2,1,82,4,1,4,4.56,4.86,4.72,4.63,4.61,1.47
원태인,24, P,2.46,13,13,0,0,0,0,6,3,0,0,74.0,25,27,27.00,311,65,13,2,6,22,4,0,55,4,0,2,3.04,3.28,3.28,3.13,4.36,1.18
원태인,20, P,2.44,27,26,1,1,0,0,6,10,0,0,140.0,76,84,81.95,626,162,32,1,19,56,5,2,78,7,0,6,4.89,5.40,5.27,4.90,5.55,1.56
윤성환,19, P,2.15,27,27,0,1,1,1,8,13,0,0,145.1,77,87,81.65,643,168,34,3,14,50,7,0,65,7,0,3,4.77,5.39,5.06,4.80,5.05,1.50
오승환,20, P,1.81,45,0,45,34,0,0,3,2,18,2,47.2,14,14,17.45,201,44,10,1,2,15,2,0,39,1,0,1,2.64,2.64,3.29,2.94,3.55,1.24
백정현,22, P,1.75,24,24,0,0,0,0,4,13,0,0,124.2,73,76,73.75,562,154,27,2,22,37,9,1,70,9,0,9,5.27,5.49,5.32,5.20,5.62,1.53
우규민,19, P,1.73,54,0,54,28,0,0,2,7,15,7,59.0,18,20,22.75,247,58,3,0,7,10,6,1,40,6,0,0,2.75,3.05,3.47,3.10,4.31,1.15
레예스,24, P,1.73,13,13,0,0,0,0,6,3,0,0,69.2,32,34,32.25,304,82,7,2,6,14,3,0,59,2,0,1,4.13,4.39,4.17,4.02,3.83,1.38
맥과이어,19, P,1.56,21,21,0,1,1,1,4,8,0,0,112.1,63,68,64.90,512,119,24,3,13,66,6,0,100,6,2,3,5.05,5.45,5.20,4.90,4.84,1.65
라이블리,19, P,1.45,9,9,0,1,1,1,4,4,0,0,57.0,25,26,26.00,236,51,9,4,4,13,5,0,58,1,0,0,3.95,4.11,4.11,3.66,3.08,1.12
원태인,19, P,1.42,26,20,6,3,0,0,4,8,0,2,112.0,60,65,63.10,493,119,26,3,12,39,5,0,68,6,2,6,4.82,5.22,5.07,4.87,4.78,1.41
오승환,22, P,1.41,57,0,57,47,0,0,6,2,31,2,57.0,21,23,25.20,239,59,9,1,8,13,1,0,51,4,0,1,3.32,3.63,3.98,3.75,3.98,1.26
이승현,20, P,1.24,65,0,65,6,0,0,1,2,0,14,54.1,21,22,23.35,226,45,7,1,11,25,0,1,52,1,0,2,3.48,3.64,3.87,3.64,5.44,1.29
코너,24, P,1.18,14,14,0,0,0,0,4,5,0,0,74.1,38,42,40.45,329,74,11,3,10,25,12,0,71,2,0,4,4.60,5.09,4.90,4.70,4.93,1.33
오승환,24, P,1.17,27,0,27,25,0,0,1,2,18,0,29.0,6,6,7.90,121,27,8,0,2,7,1,1,22,1,0,5,1.86,1.86,2.45,2.35,3.84,1.17
이승현,19, P,1.04,34,0,34,3,0,0,2,1,0,8,37.0,8,11,12.55,147,28,3,0,2,11,1,0,31,2,0,2,1.95,2.68,3.05,2.77,3.36,1.05
라이블리,21, P,1.02,6,6,0,0,0,0,0,1,0,0,33.1,15,16,15.15,140,23,6,0,4,13,5,0,38,1,0,0,4.05,4.32,4.09,3.94,4.02,1.08
이승현,24, P,0.96,8,8,0,0,0,0,3,3,0,0,40.2,19,22,19.90,178,37,7,1,3,18,2,0,37,3,0,2,4.20,4.87,4.40,4.20,4.30,1.35
와이드너,23, P,0.95,10,9,1,0,0,0,3,3,0,0,53.1,27,30,28.80,236,61,9,0,3,17,3,0,42,4,0,2,4.56,5.06,4.86,4.63,3.71,1.46
임현준,19, P,0.93,71,0,71,11,0,0,1,0,0,8,42.1,16,19,16.95,177,34,9,1,2,12,3,0,35,2,0,0,3.40,4.04,3.60,3.45,3.40,1.09
허윤동,20, P,0.92,11,11,0,0,0,0,2,1,0,0,45.0,24,26,23.95,204,43,10,0,4,31,2,0,18,2,1,0,4.80,5.20,4.79,4.67,6.33,1.64
김대우,20, P,0.91,28,9,19,3,0,0,3,7,0,1,77.2,44,49,47.95,350,95,17,1,9,26,6,0,37,4,1,1,5.10,5.68,5.56,5.16,5.46,1.56
최지광,19, P,0.91,63,0,63,19,0,0,3,8,2,10,68.0,31,33,33.65,303,64,9,3,4,40,5,3,60,2,0,3,4.10,4.37,4.45,4.19,4.22,1.53
장필준,19, P,0.81,61,0,61,17,0,0,3,3,11,15,69.2,28,29,35.70,302,64,11,2,7,33,3,3,53,5,0,4,3.62,3.75,4.61,4.32,4.62,1.39
김재윤,24, P,0.79,29,0,29,5,0,0,3,4,1,14,33.0,12,14,14.85,138,24,4,0,5,17,0,4,23,1,0,1,3.27,3.82,4.05,3.85,5.54,1.24
