이름,연도,포지션,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
김광현,19, P,7.30,31,30,1,1,0,0,17,6,0,0,190.1,53,64,62.45,786,198,17,0,13,38,2,1,180,11,0,8,2.51,3.03,2.95,2.91,2.91,1.24
산체스,19, P,6.64,28,28,0,0,0,0,17,5,0,0,165.0,48,51,49.10,671,151,18,2,2,42,2,0,148,4,2,11,2.62,2.78,2.68,2.77,2.54,1.17
김광현,22, P,6.44,28,28,0,0,0,0,13,3,0,0,173.1,41,48,48.00,694,141,16,2,10,45,5,2,153,9,0,1,2.13,2.49,2.49,2.44,3.14,1.07
폰트,22, P,5.58,28,28,0,1,1,0,13,6,0,0,184.0,55,63,63.00,729,141,22,3,18,34,6,1,170,7,0,5,2.69,3.08,3.08,3.01,3.31,0.95
김광현,23, P,4.48,30,30,0,0,0,0,9,8,0,0,168.1,66,75,72.75,713,163,30,0,11,70,2,0,119,9,0,5,3.53,4.01,3.89,3.89,4.19,1.38
문승원,20, P,4.23,25,25,0,1,1,0,6,8,0,0,145.2,59,64,63.00,610,136,29,0,13,45,6,0,117,8,0,2,3.65,3.95,3.89,3.88,4.13,1.24
문승원,19, P,4.16,26,23,3,0,0,0,11,7,0,2,144.0,62,63,63.00,586,130,13,5,23,33,3,1,99,5,0,0,3.88,3.94,3.94,3.66,4.77,1.13
폰트,21, P,4.09,25,25,0,0,0,0,8,5,0,0,145.2,56,66,66.00,604,114,22,1,12,45,6,1,157,11,1,2,3.46,4.08,4.08,3.96,3.12,1.09
엘리아스,23, P,3.54,22,21,1,1,0,0,8,6,0,0,131.1,54,58,56.80,548,140,22,1,12,33,6,1,93,5,0,0,3.70,3.97,3.89,3.78,4.09,1.32
박종훈,19, P,3.51,28,28,0,0,0,0,8,11,0,0,144.0,62,72,68.05,643,157,29,0,12,59,13,0,100,6,0,1,3.88,4.50,4.25,4.08,4.62,1.50
맥카티,23, P,3.38,24,24,0,0,0,0,9,5,0,0,130.0,49,58,56.80,543,124,19,2,10,45,1,0,116,6,1,4,3.39,4.02,3.93,3.85,3.63,1.30
하재훈,19, P,3.24,61,0,61,47,0,0,5,3,36,3,59.0,13,13,13.50,245,47,11,0,1,26,1,2,64,0,1,0,1.98,1.98,2.06,1.99,2.61,1.24
박종훈,20, P,3.11,29,28,1,0,0,0,13,11,0,0,157.1,84,90,86.05,691,146,21,3,14,78,22,1,134,7,0,5,4.81,5.15,4.92,4.79,4.90,1.42
모리만도,22, P,3.07,12,12,0,0,0,0,7,1,0,0,75.1,14,19,19.00,304,57,8,0,2,23,4,0,67,5,0,2,1.67,2.27,2.27,2.23,2.99,1.06
서진용,23, P,2.84,69,0,69,61,0,0,5,4,42,0,73.0,21,22,22.70,325,63,6,0,3,49,4,6,64,1,0,5,2.59,2.71,2.80,2.80,4.27,1.53
소사,19, P,2.63,16,16,0,0,0,0,9,3,0,0,94.1,40,42,41.15,387,85,6,0,15,23,2,0,96,3,1,3,3.82,4.01,3.93,3.90,3.98,1.14
서진용,19, P,2.39,72,0,72,5,0,0,3,1,4,33,68.0,18,19,22.40,279,53,9,2,2,28,2,4,76,2,0,1,2.38,2.51,2.96,2.88,2.60,1.19
김택형,21, P,2.27,59,0,59,24,0,0,5,1,7,4,75.1,20,23,28.35,316,61,11,0,3,42,3,5,62,7,0,3,2.39,2.75,3.39,3.32,3.95,1.37
이태양,22, P,2.15,30,17,13,3,0,0,8,3,0,1,112.0,45,50,49.30,472,116,18,0,15,24,5,2,61,7,0,0,3.62,4.02,3.96,3.78,4.76,1.25
노경은,22, P,2.15,41,8,33,7,0,0,12,5,1,7,79.2,27,28,29.05,323,69,10,0,5,23,4,0,55,5,0,5,3.05,3.16,3.28,3.13,3.86,1.15
